round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.094,1.4024240970611572,1656,0.0,0.0,0.0,0.0
2,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1085,1.6889188289642334,3316,0.0,0.0,0.0,0.0
3,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.101,1.5551764965057373,4970,0.0,0.0,0.0,0.0
4,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.0975,1.6538653373718262,6627,0.0,0.0,0.0,0.0
5,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.098,1.452301025390625,8283,0.0,0.0,0.0,0.0
6,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.088,1.3225555419921875,9940,0.0,0.0,0.0,0.0
7,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.093,1.5959875583648682,11595,0.0,0.0,0.0,0.0
8,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.095,1.5894091129302979,13253,0.0,0.0,0.0,0.0
9,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.056,1.6270430088043213,14910,0.0,0.0,0.0,0.0
10,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1115,1.2461111545562744,16565,0.0,0.0,0.0,0.0
11,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1095,1.564927577972412,18222,0.0,0.0,0.0,0.0
12,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1105,1.335376262664795,19880,0.0,0.0,0.0,0.0
13,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1025,1.6218903064727783,21538,0.0,0.0,0.0,0.0
14,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1205,1.3326687812805176,23197,0.0,0.0,0.0,0.0
15,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1245,1.421152114868164,24856,0.0,0.0,0.0,0.0
16,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.105,1.0669164657592773,26513,0.0,0.0,0.0,0.0
17,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.105,1.3679914474487305,28171,0.0,0.0,0.0,0.0
18,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1165,1.1601955890655518,29830,0.0,0.0,0.0,0.0
19,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.0875,1.3615715503692627,31485,0.0,0.0,0.0,0.0
20,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1065,1.425152063369751,33143,0.0,0.0,0.0,0.0
