round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0635,1.5879173278808594,1654,0.0,0.0,0.0,0.0
2,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1135,1.2897484302520752,3311,0.0,0.0,0.0,0.0
3,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.083,1.5205683708190918,4966,0.0,0.0,0.0,0.0
4,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.092,1.1514840126037598,6623,0.0,0.0,0.0,0.0
5,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.092,1.8315715789794922,8280,0.0,0.0,0.0,0.0
6,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.11,2.466170310974121,9936,0.0,0.0,0.0,0.0
7,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0825,1.7741873264312744,11591,0.0,0.0,0.0,0.0
8,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.11,1.9184269905090332,13248,0.0,0.0,0.0,0.0
9,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1155,2.1175625324249268,14908,0.0,0.0,0.0,0.0
10,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.108,1.9371185302734375,16566,0.0,0.0,0.0,0.0
11,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1005,1.8520889282226562,18223,0.0,0.0,0.0,0.0
12,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.11,1.899491548538208,19881,0.0,0.0,0.0,0.0
13,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0925,1.9685935974121094,21538,0.0,0.0,0.0,0.0
14,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.112,2.212571620941162,23195,0.0,0.0,0.0,0.0
15,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.111,1.6826667785644531,24853,0.0,0.0,0.0,0.0
16,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0935,2.08501935005188,26511,0.0,0.0,0.0,0.0
17,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0985,2.1277272701263428,28167,0.0,0.0,0.0,0.0
18,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.105,1.801293134689331,29824,0.0,0.0,0.0,0.0
19,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.112,2.178849935531616,31482,0.0,0.0,0.0,0.0
20,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1,2.0402188301086426,33139,0.0,0.0,0.0,0.0
