round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.098,1.3384220600128174,1656,0.0,0.0,0.0,0.0
2,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.099,1.6132843494415283,3315,0.0,0.0,0.0,0.0
3,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1305,1.4917995929718018,4970,0.0,0.0,0.0,0.0
4,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1005,1.508737564086914,6626,0.0,0.0,0.0,0.0
5,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1595,1.489093542098999,8281,0.0,0.0,0.0,0.0
6,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1185,1.469517707824707,9940,0.0,0.0,0.0,0.0
7,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1425,1.6039338111877441,11596,0.0,0.0,0.0,0.0
8,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1225,1.54884934425354,13254,0.0,0.0,0.0,0.0
9,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.185,1.4451780319213867,14912,0.0,0.0,0.0,0.0
10,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.138,1.348879337310791,16569,0.0,0.0,0.0,0.0
11,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.232,1.744225025177002,18227,0.0,0.0,0.0,0.0
12,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1215,1.4119563102722168,19885,0.0,0.0,0.0,0.0
13,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1445,1.5319392681121826,21543,0.0,0.0,0.0,0.0
14,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1835,1.3957490921020508,23201,0.0,0.0,0.0,0.0
15,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.139,1.6525518894195557,24860,0.0,0.0,0.0,0.0
16,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1615,1.3250470161437988,26517,0.0,0.0,0.0,0.0
17,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1825,1.5314733982086182,28175,0.0,0.0,0.0,0.0
18,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1325,1.424476146697998,29834,0.0,0.0,0.0,0.0
19,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.185,1.5367891788482666,31489,0.0,0.0,0.0,0.0
20,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1905,1.648590087890625,33147,0.0,0.0,0.0,0.0
