round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.0935,1.3912489414215088,1783,1.0,1.0,1.0,0.0
2,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.093,1.557859182357788,3586,1.0,1.0,1.0,0.0
3,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.14,1.5642986297607422,5379,1.0,1.0,1.0,0.0
4,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1185,1.582984447479248,7176,1.0,1.0,1.0,0.0
5,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.161,1.6753311157226562,8961,0.5,1.0,0.6666666666666666,0.1111111111111111
6,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1585,1.5094883441925049,10776,0.6666666666666666,1.0,0.8,0.125
7,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.163,1.5531132221221924,12565,0.5,1.0,0.6666666666666666,0.1111111111111111
8,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.156,1.6673786640167236,14367,1.0,1.0,1.0,0.0
9,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.167,1.6565968990325928,16210,0.6,1.0,0.7499999999999999,0.2857142857142857
10,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.197,1.480055332183838,18043,0.5,1.0,0.6666666666666666,0.25
11,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.213,1.7491931915283203,19865,0.6666666666666666,1.0,0.8,0.125
12,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2125,1.5186254978179932,21673,1.0,1.0,1.0,0.0
13,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2335,1.666858196258545,23477,0.5,1.0,0.6666666666666666,0.1111111111111111
14,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.226,1.5695204734802246,25290,0.6666666666666666,1.0,0.8,0.125
15,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.209,1.5344903469085693,27089,0.75,1.0,0.8571428571428571,0.14285714285714285
16,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2215,1.2844524383544922,28920,1.0,1.0,1.0,0.0
17,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.242,1.5789318084716797,30705,0.75,1.0,0.8571428571428571,0.14285714285714285
18,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2465,1.3798022270202637,32505,1.0,1.0,1.0,0.0
19,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2745,1.6006290912628174,34318,1.0,1.0,1.0,0.0
20,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.258,1.6423346996307373,36117,0.6,1.0,0.7499999999999999,0.2857142857142857
