round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.3437471389770508,1656,0.0,0.0,0.0,0.0
2,cifar10,cosine,model_scaling,0.2,True,0.5,0.1005,1.6796770095825195,3316,0.0,0.0,0.0,0.0
3,cifar10,cosine,model_scaling,0.2,True,0.5,0.1065,1.4564812183380127,4971,0.0,0.0,0.0,0.0
4,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.5694522857666016,6628,0.0,0.0,0.0,0.0
5,cifar10,cosine,model_scaling,0.2,True,0.5,0.098,1.4004476070404053,8283,0.0,0.0,0.0,0.0
6,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.3295578956604004,9942,0.0,0.0,0.0,0.0
7,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.4383342266082764,11598,0.0,0.0,0.0,0.0
8,cifar10,cosine,model_scaling,0.2,True,0.5,0.1,1.4860577583312988,13256,0.0,0.0,0.0,0.0
9,cifar10,cosine,model_scaling,0.2,True,0.5,0.0995,1.4232897758483887,14914,0.0,0.0,0.0,0.0
10,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.2157752513885498,16570,0.0,0.0,0.0,0.0
11,cifar10,cosine,model_scaling,0.2,True,0.5,0.1115,1.552971363067627,18226,0.0,0.0,0.0,0.0
12,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.4151477813720703,19882,0.0,0.0,0.0,0.0
13,cifar10,cosine,model_scaling,0.2,True,0.5,0.1315,1.5708627700805664,21540,0.0,0.0,0.0,0.0
14,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.3564848899841309,23199,0.0,0.0,0.0,0.0
15,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.535701036453247,24858,0.0,0.0,0.0,0.0
16,cifar10,cosine,model_scaling,0.2,True,0.5,0.098,1.2623114585876465,26515,0.0,0.0,0.0,0.0
17,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.4354870319366455,28173,0.0,0.0,0.0,0.0
18,cifar10,cosine,model_scaling,0.2,True,0.5,0.0925,1.2126269340515137,29830,0.0,0.0,0.0,0.0
19,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.4609065055847168,31485,0.0,0.0,0.0,0.0
20,cifar10,cosine,model_scaling,0.2,True,0.5,0.098,1.5563905239105225,33143,0.0,0.0,0.0,0.0
