round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,fedavg,model_scaling,0.2,True,0.5,0.0925,1.3411273956298828,1656,0.0,0.0,0.0,0.0
2,cifar10,fedavg,model_scaling,0.2,True,0.5,0.12,1.5961542129516602,3315,0.0,0.0,0.0,0.0
3,cifar10,fedavg,model_scaling,0.2,True,0.5,0.0925,1.431441307067871,4970,0.0,0.0,0.0,0.0
4,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1115,1.4994480609893799,6627,0.0,0.0,0.0,0.0
5,cifar10,fedavg,model_scaling,0.2,True,0.5,0.098,1.425105333328247,8283,0.0,0.0,0.0,0.0
6,cifar10,fedavg,model_scaling,0.2,True,0.5,0.127,1.396589994430542,9941,0.0,0.0,0.0,0.0
7,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1245,1.4449708461761475,11595,0.0,0.0,0.0,0.0
8,cifar10,fedavg,model_scaling,0.2,True,0.5,0.145,1.4894864559173584,13253,0.0,0.0,0.0,0.0
9,cifar10,fedavg,model_scaling,0.2,True,0.5,0.113,1.3919837474822998,14911,0.0,0.0,0.0,0.0
10,cifar10,fedavg,model_scaling,0.2,True,0.5,0.0965,1.2789607048034668,16568,0.0,0.0,0.0,0.0
11,cifar10,fedavg,model_scaling,0.2,True,0.5,0.105,1.6000688076019287,18226,0.0,0.0,0.0,0.0
12,cifar10,fedavg,model_scaling,0.2,True,0.5,0.0945,1.414175033569336,19884,0.0,0.0,0.0,0.0
13,cifar10,fedavg,model_scaling,0.2,True,0.5,0.129,1.6717028617858887,21542,0.0,0.0,0.0,0.0
14,cifar10,fedavg,model_scaling,0.2,True,0.5,0.134,1.3647778034210205,23201,0.0,0.0,0.0,0.0
15,cifar10,fedavg,model_scaling,0.2,True,0.5,0.143,1.482804298400879,24860,0.0,0.0,0.0,0.0
16,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1245,1.1473543643951416,26517,0.0,0.0,0.0,0.0
17,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1345,1.4746994972229004,28173,0.0,0.0,0.0,0.0
18,cifar10,fedavg,model_scaling,0.2,True,0.5,0.127,1.2913730144500732,29832,0.0,0.0,0.0,0.0
19,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1365,1.5035605430603027,31487,0.0,0.0,0.0,0.0
20,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1215,1.6043286323547363,33145,0.0,0.0,0.0,0.0
