round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.0985,1.6568858623504639,1656,0.0,0.0,0.0,0.0
2,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.099,1.4124603271484375,3313,0.0,0.0,0.0,0.0
3,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1015,1.6209497451782227,4969,0.0,0.0,0.0,0.0
4,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1255,1.4815442562103271,6626,0.0,0.0,0.0,0.0
5,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1525,1.7034966945648193,8284,0.0,0.0,0.0,0.0
6,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1195,1.6526408195495605,9941,0.0,0.0,0.0,0.0
7,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.103,1.3708198070526123,11597,0.0,0.0,0.0,0.0
8,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.15,1.5303936004638672,13254,0.0,0.0,0.0,0.0
9,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1135,1.6112251281738281,14914,0.0,0.0,0.0,0.0
10,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.149,1.5153045654296875,16571,0.0,0.0,0.0,0.0
11,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1495,1.728914737701416,18229,0.0,0.0,0.0,0.0
12,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1635,1.7289762496948242,19888,0.0,0.0,0.0,0.0
13,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.201,1.5734014511108398,21546,0.0,0.0,0.0,0.0
14,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.135,1.5546448230743408,23203,0.0,0.0,0.0,0.0
15,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1025,1.5526864528656006,24861,0.0,0.0,0.0,0.0
16,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1415,1.8359589576721191,26518,0.0,0.0,0.0,0.0
17,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.123,2.042677640914917,28174,0.0,0.0,0.0,0.0
18,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.185,1.6205649375915527,29830,0.0,0.0,0.0,0.0
19,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.158,1.5368549823760986,31487,0.0,0.0,0.0,0.0
20,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1375,1.2465755939483643,33145,0.0,0.0,0.0,0.0
