round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.0925,1.4936785697937012,1781,1.0,1.0,1.0,0.0
2,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.103,1.6552793979644775,3583,1.0,1.0,1.0,0.0
3,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.119,1.5634939670562744,5378,1.0,1.0,1.0,0.0
4,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.118,1.8011507987976074,7176,1.0,1.0,1.0,0.0
5,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1195,1.6853463649749756,8961,0.5,1.0,0.6666666666666666,0.1111111111111111
6,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1375,1.5850512981414795,10763,1.0,1.0,1.0,0.0
7,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.107,1.5797760486602783,12551,0.5,1.0,0.6666666666666666,0.1111111111111111
8,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.168,1.5471398830413818,14353,1.0,1.0,1.0,0.0
9,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.121,1.4915833473205566,16203,0.6,1.0,0.7499999999999999,0.2857142857142857
10,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.182,1.4457166194915771,18017,0.6666666666666666,1.0,0.8,0.125
11,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.171,1.7505252361297607,19857,0.6666666666666666,1.0,0.8,0.125
12,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1015,1.5788803100585938,21683,0.6666666666666666,1.0,0.8,0.125
13,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1215,1.6839087009429932,23493,0.5,1.0,0.6666666666666666,0.1111111111111111
14,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1415,1.4899005889892578,25297,0.6666666666666666,1.0,0.8,0.125
15,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.153,1.5976805686950684,27139,0.5,1.0,0.6666666666666666,0.42857142857142855
16,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.193,1.2892043590545654,29002,0.5,1.0,0.6666666666666666,0.42857142857142855
17,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.181,1.5565834045410156,30844,1.0,0.6666666666666666,0.8,0.0
18,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1565,1.362764596939087,32688,0.75,1.0,0.8571428571428571,0.14285714285714285
19,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.121,1.5546576976776123,34538,0.6666666666666666,1.0,0.8,0.125
20,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.2225,1.6262199878692627,36365,0.6,1.0,0.7499999999999999,0.2857142857142857
