round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0985,1.2709150314331055,1964,0.0,0.0,0.0,0.5714285714285714
2,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.103,1.312605381011963,3922,0.0,0.0,0.0,1.0
3,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.046,1.3151462078094482,5880,0.0,0.0,0.0,0.875
4,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1465,1.3199985027313232,7848,0.0,0.0,0.0,1.0
5,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0915,1.1164824962615967,9813,0.0,0.0,0.0,0.875
6,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0995,1.1046373844146729,11738,0.0,0.0,0.0,0.875
7,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1455,1.0986571311950684,13692,0.0,0.0,0.0,0.7777777777777778
8,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.123,1.2789850234985352,15650,0.0,0.0,0.0,0.5
9,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0985,1.3781852722167969,17591,0.0,0.0,0.0,0.6666666666666666
10,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1155,1.41587495803833,19535,0.0,0.0,0.0,0.7777777777777778
11,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1305,1.1540157794952393,21502,0.0,0.0,0.0,0.42857142857142855
12,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1155,1.2547886371612549,23462,0.0,0.0,0.0,0.5
13,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.128,1.5507869720458984,25427,0.0,0.0,0.0,0.0
14,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0935,1.4032869338989258,27392,0.0,0.0,0.0,0.6666666666666666
15,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.13,1.1465153694152832,29357,0.0,0.0,0.0,1.0
16,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1135,1.1129155158996582,31319,0.0,0.0,0.0,1.0
17,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.107,1.1739647388458252,33282,0.0,0.0,0.0,1.0
18,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.116,1.4253861904144287,35225,0.0,0.0,0.0,0.625
19,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1005,1.0485632419586182,37187,0.0,0.0,0.0,0.75
20,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.085,1.21309494972229,39150,0.0,0.0,0.0,0.8571428571428571
21,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.0915,1.2813811302185059,41117,0.0,0.0,0.0,0.2857142857142857
22,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1165,1.2742915153503418,43078,0.0,0.0,0.0,0.42857142857142855
23,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.096,1.146113634109497,45045,0.0,0.0,0.0,0.5
24,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.109,1.3130807876586914,47006,0.0,0.0,0.0,0.7142857142857143
25,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.112,1.2412488460540771,48976,0.0,0.0,0.0,0.42857142857142855
26,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.121,1.0382394790649414,50940,0.0,0.0,0.0,0.7142857142857143
27,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1065,1.1384191513061523,52903,0.0,0.0,0.0,0.5
28,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.111,1.1445515155792236,54864,0.0,0.0,0.0,0.4444444444444444
29,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.125,1.0533361434936523,56824,0.0,0.0,0.0,0.75
30,fashion_mnist,history_cosine,gaussian_noise,0.2,True,0.5,0.1055,1.3399324417114258,58787,0.0,0.0,0.0,0.625
