round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.095,1.1799087524414062,1951,0.2222222222222222,1.0,0.3636363636363636,0.875
2,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.2565,1.307476282119751,3909,0.25,1.0,0.4,0.75
3,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.1095,1.1115350723266602,5865,0.25,0.5,0.3333333333333333,0.375
4,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.2055,1.2776196002960205,7817,0.16666666666666666,0.5,0.25,0.625
5,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.336,1.3015902042388916,9777,0.3333333333333333,1.0,0.5,0.5
6,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.499,1.3393499851226807,11733,0.4,1.0,0.5714285714285715,0.375
7,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.2805,1.3890585899353027,13688,0.375,1.0,0.5454545454545454,0.7142857142857143
8,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.4645,1.274789571762085,15644,0.2,0.5,0.28571428571428575,0.5
9,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.416,1.2052898406982422,17601,0.2,0.5,0.28571428571428575,0.5
10,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.38,1.3611977100372314,19558,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5714285714285714
11,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.5765,1.217909336090088,21519,0.3333333333333333,1.0,0.5,0.2222222222222222
12,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6005,1.2221753597259521,23477,0.25,1.0,0.4,0.3333333333333333
13,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6595,1.4456217288970947,25435,0.0,0.0,0.0,0.4
14,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.3215,1.0547361373901367,27393,0.4,0.6666666666666666,0.5,0.42857142857142855
15,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.555,1.0999388694763184,29352,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.7142857142857143
16,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.572,1.3245830535888672,31308,0.16666666666666666,1.0,0.2857142857142857,0.5555555555555556
17,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.4445,1.2023286819458008,33264,0.0,0.0,0.0,0.0
18,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.542,1.0642712116241455,35224,0.0,0.0,0.0,0.25
19,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.5475,1.2470545768737793,37186,0.4,0.6666666666666666,0.5,0.42857142857142855
20,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6315,1.2659282684326172,39151,0.0,0.0,0.0,0.2
21,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.4385,1.1746413707733154,41107,0.25,0.3333333333333333,0.28571428571428575,0.42857142857142855
22,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.519,1.3051607608795166,43070,0.0,0.0,0.0,0.4444444444444444
23,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.579,1.3583414554595947,45027,0.0,0.0,0.0,0.0
24,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.473,1.1553778648376465,46985,0.5,0.6666666666666666,0.5714285714285715,0.2857142857142857
25,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6965,1.086503505706787,48937,0.16666666666666666,0.5,0.25,0.625
26,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.526,1.1607043743133545,50899,0.25,0.5,0.3333333333333333,0.375
27,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.585,1.2453668117523193,52858,0.0,0.0,0.0,0.5
28,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.499,1.356266975402832,54816,0.0,0.0,0.0,0.2857142857142857
29,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6255,1.4745190143585205,56772,0.0,0.0,0.0,0.625
30,fashion_mnist,history_cosine,model_scaling,0.2,True,0.5,0.6545,1.344153642654419,58734,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
