round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.1095,0.8972747325897217,1658,0.0,0.0,0.0,0.25
2,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.1825,0.9414539337158203,3336,0.0,0.0,0.0,0.25
3,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.168,0.940194845199585,5014,0.0,0.0,0.0,0.25
4,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.203,1.8479909896850586,6698,0.0,0.0,0.0,0.25
5,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.362,1.6209218502044678,8367,0.0,0.0,0.0,0.25
6,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3035,1.6690185070037842,10048,0.0,0.0,0.0,0.25
7,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5485,1.7574691772460938,11709,0.5,0.3333333333333333,0.4,0.14285714285714285
8,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3655,1.6053111553192139,13394,0.0,0.0,0.0,0.25
9,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.451,1.6291379928588867,15105,0.0,0.0,0.0,0.25
10,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3765,1.7209720611572266,16803,0.0,0.0,0.0,0.2857142857142857
11,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5265,1.471085548400879,18499,0.0,0.0,0.0,0.2222222222222222
12,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5565,1.554408073425293,20220,0.0,0.0,0.0,0.2222222222222222
13,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6775,1.7622370719909668,21948,0.0,0.0,0.0,0.2
14,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.383,1.4074294567108154,23653,0.0,0.0,0.0,0.2857142857142857
15,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5625,1.4002189636230469,25392,0.0,0.0,0.0,0.2857142857142857
16,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4795,1.6805098056793213,27137,0.0,0.0,0.0,0.2222222222222222
17,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4295,1.4817583560943604,28874,0.0,0.0,0.0,0.2857142857142857
18,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4915,1.3163843154907227,30643,0.0,0.0,0.0,0.25
19,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.511,1.5397865772247314,32406,0.5,0.3333333333333333,0.4,0.14285714285714285
20,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.641,1.6273746490478516,34200,0.0,0.0,0.0,0.2
21,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4035,1.4586896896362305,35967,0.0,0.0,0.0,0.2857142857142857
22,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4405,1.5749647617340088,37758,0.0,0.0,0.0,0.2222222222222222
23,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.459,1.7329094409942627,39533,0.0,0.0,0.0,0.25
24,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3995,1.5213332176208496,41305,0.0,0.0,0.0,0.2857142857142857
25,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.629,1.467376708984375,43100,0.5,0.5,0.5,0.125
26,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5045,1.3943026065826416,44883,0.0,0.0,0.0,0.25
27,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5105,1.5064079761505127,46673,0.0,0.0,0.0,0.25
28,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.356,1.666339635848999,48451,0.0,0.0,0.0,0.2857142857142857
29,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.519,1.6845908164978027,50244,0.0,0.0,0.0,0.25
30,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3545,1.4510793685913086,52030,0.0,0.0,0.0,0.2857142857142857
