round,client_id,reputation,malicious
1,0,1.0,0
1,1,0.65,0
1,2,1.0,0
1,3,1.0,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,1.0,0
1,8,1.0,0
1,9,1.0,0
1,10,1.0,0
1,11,1.0,0
1,12,1.0,0
1,13,1.0,1
1,14,1.0,0
1,15,0.65,0
1,16,1.0,1
1,17,1.0,1
1,18,1.0,0
1,19,1.0,0
2,0,1.0,0
2,1,0.65,0
2,2,1.0,0
2,3,1.0,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,1.0,0
2,8,1.0,0
2,9,1.0,0
2,10,1.0,0
2,11,1.0,0
2,12,0.65,0
2,13,1.0,1
2,14,1.0,0
2,15,0.6675,0
2,16,0.65,1
2,17,1.0,1
2,18,1.0,0
2,19,1.0,0
3,0,1.0,0
3,1,0.6675,0
3,2,1.0,0
3,3,1.0,1
3,4,1.0,0
3,5,0.65,0
3,6,1.0,0
3,7,1.0,0
3,8,1.0,0
3,9,1.0,0
3,10,1.0,0
3,11,1.0,0
3,12,0.65,0
3,13,0.65,1
3,14,1.0,0
3,15,0.6675,0
3,16,0.65,1
3,17,1.0,1
3,18,1.0,0
3,19,1.0,0
4,0,1.0,0
4,1,0.433875,0
4,2,1.0,0
4,3,1.0,1
4,4,1.0,0
4,5,0.65,0
4,6,1.0,0
4,7,1.0,0
4,8,1.0,0
4,9,1.0,0
4,10,1.0,0
4,11,1.0,0
4,12,0.6675,0
4,13,0.65,1
4,14,1.0,0
4,15,0.6675,0
4,16,0.6675,1
4,17,1.0,1
4,18,0.65,0
4,19,1.0,0
5,0,1.0,0
5,1,0.46218125,0
5,2,1.0,0
5,3,1.0,1
5,4,1.0,0
5,5,0.65,0
5,6,1.0,0
5,7,1.0,0
5,8,0.65,0
5,9,1.0,0
5,10,0.65,0
5,11,1.0,0
5,12,0.6675,0
5,13,0.6675,1
5,14,1.0,0
5,15,0.6675,0
5,16,0.6675,1
5,17,1.0,1
5,18,0.65,0
5,19,1.0,0
6,0,1.0,0
6,1,0.46218125,0
6,2,1.0,0
6,3,1.0,1
