round,client_id,reputation,malicious
1,0,0.65,1
1,1,1.0,0
1,2,1.0,0
1,3,1.0,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,0.65,1
1,8,1.0,1
1,9,1.0,0
1,10,1.0,0
1,11,1.0,0
1,12,1.0,0
1,13,1.0,0
1,14,1.0,0
1,15,1.0,0
1,16,1.0,0
1,17,1.0,0
1,18,1.0,0
1,19,1.0,0
2,0,0.42250000000000004,1
2,1,1.0,0
2,2,1.0,0
2,3,0.8169998080770122,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,0.42250000000000004,1
2,8,1.0,1
2,9,1.0,0
2,10,1.0,0
2,11,1.0,0
2,12,1.0,0
2,13,1.0,0
2,14,1.0,0
2,15,1.0,0
2,16,1.0,0
2,17,1.0,0
2,18,1.0,0
2,19,1.0,0
3,0,0.42250000000000004,1
3,1,1.0,0
3,2,1.0,0
3,3,0.531049875250058,1
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,0.42250000000000004,1
3,8,0.65,1
3,9,1.0,0
3,10,1.0,0
3,11,1.0,0
3,12,1.0,0
3,13,1.0,0
3,14,1.0,0
3,15,1.0,0
3,16,1.0,0
3,17,1.0,0
3,18,1.0,0
3,19,1.0,0
4,0,0.451375,1
4,1,1.0,0
4,2,1.0,0
4,3,0.5544973814875551,1
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,0.27462500000000006,1
4,8,0.6675,1
4,9,1.0,0
4,10,1.0,0
4,11,1.0,0
4,12,1.0,0
4,13,1.0,0
4,14,1.0,0
4,15,0.65,0
4,16,1.0,0
4,17,1.0,0
4,18,1.0,0
4,19,1.0,0
5,0,0.29339375,1
5,1,0.8191493643026164,0
5,2,1.0,0
5,3,0.36042329796691086,1
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,0.27462500000000006,1
5,8,0.6675,1
5,9,1.0,0
5,10,1.0,0
5,11,1.0,0
5,12,1.0,0
5,13,1.0,0
5,14,1.0,0
5,15,0.6675,0
5,16,1.0,0
5,17,1.0,0
5,18,1.0,0
5,19,1.0,0
6,0,0.29339375,1
6,1,0.8191493643026164,0
6,2,1.0,0
6,3,0.23427514367849206,1
6,4,1.0,0
6,5,1.0,0
6,6,1.0,0
6,7,0.17850625000000006,1
6,8,0.6675,1
6,9,1.0,0
6,10,1.0,0
6,11,1.0,0
6,12,1.0,0
6,13,1.0,0
6,14,1.0,0
6,15,0.6675,0
6,16,1.0,0
6,17,1.0,0
6,18,1.0,0
6,19,1.0,0
7,0,0.29339375,1
7,1,0.8281918960874856,0
7,2,1.0,0
7,3,0.23427514367849206,1
7,4,1.0,0
7,5,0.65,0
7,6,1.0,0
7,7,0.17850625000000006,1
7,8,0.433875,1
7,9,1.0,0
7,10,1.0,0
7,11,1.0,0
7,12,1.0,0
7,13,1.0,0
7,14,1.0,0
7,15,0.6675,0
7,16,1.0,0
7,17,1.0,0
7,18,1.0,0
7,19,1.0,0
8,0,0.29339375,1
8,1,0.8281918960874856,0
8,2,1.0,0
8,3,0.23427514367849206,1
8,4,1.0,0
8,5,0.6675,0
8,6,1.0,0
8,7,0.11602906250000004,1
8,8,0.28201875000000004,1
8,9,1.0,0
8,10,1.0,0
8,11,1.0,0
8,12,1.0,0
8,13,1.0,0
8,14,1.0,0
8,15,0.6675,0
8,16,1.0,0
8,17,1.0,0
8,18,1.0,0
8,19,1.0,0
9,0,0.29339375,1
9,1,0.5383247324568656,0
9,2,1.0,0
9,3,0.23427514367849206,1
9,4,1.0,0
9,5,0.684125,0
9,6,1.0,0
9,7,0.07541889062500003,1
9,8,0.28201875000000004,1
9,9,1.0,0
9,10,1.0,0
9,11,1.0,0
9,12,1.0,0
9,13,1.0,0
9,14,1.0,0
9,15,0.684125,0
9,16,1.0,0
9,17,1.0,0
9,18,1.0,0
9,19,1.0,0
10,0,0.29339375,1
10,1,0.5383247324568656,0
10,2,1.0,0
10,3,0.23427514367849206,1
10,4,1.0,0
10,5,0.684125,0
10,6,0.65,0
10,7,0.05,1
10,8,0.28201875000000004,1
10,9,1.0,0
10,10,1.0,0
10,11,1.0,0
10,12,1.0,0
10,13,1.0,0
10,14,1.0,0
10,15,0.69991875,0
10,16,1.0,0
10,17,1.0,0
10,18,1.0,0
10,19,1.0,0
11,0,0.29339375,1
11,1,0.5383247324568656,0
11,2,1.0,0
11,3,0.15227884339101985,1
11,4,1.0,0
11,5,0.69991875,0
11,6,0.5145036086785469,0
11,7,0.05,1
11,8,0.21026087876014848,1
11,9,1.0,0
11,10,1.0,0
11,11,1.0,0
11,12,1.0,0
11,13,1.0,0
11,14,1.0,0
11,15,0.69991875,0
11,16,1.0,0
11,17,1.0,0
11,18,1.0,0
11,19,1.0,0
12,0,0.29339375,1
12,1,0.34991107609696265,0
12,2,0.7489910338373071,0
12,3,0.15227884339101985,1
12,4,0.7968716788526936,0
12,5,0.69991875,0
12,6,0.5145036086785469,0
12,7,0.05,1
12,8,0.21026087876014848,1
12,9,1.0,0
12,10,1.0,0
12,11,1.0,0
12,12,1.0,0
12,13,0.7802265131026116,0
12,14,1.0,0
12,15,0.5096627294913609,0
12,16,0.65,0
12,17,1.0,0
12,18,1.0,0
12,19,1.0,0
13,0,0.1907059375,1
13,1,0.34991107609696265,0
13,2,0.7615414821454418,0
13,3,0.15227884339101985,1
13,4,0.8070280949100589,0
13,5,0.69991875,0
13,6,0.5145036086785469,0
13,7,0.05,1
13,8,0.1366695711940965,1
13,9,1.0,0
13,10,1.0,0
13,11,1.0,0
13,12,1.0,0
13,13,0.791215187447481,0
13,14,1.0,0
13,15,0.5341795930167929,0
13,16,0.65,0
13,17,1.0,0
13,18,1.0,0
13,19,1.0,0
14,0,0.231170640625,1
14,1,0.34991107609696265,0
14,2,0.7734644080381697,0
14,3,0.19466490122146887,1
14,4,0.5245682616915383,0
14,5,0.69991875,0
14,6,0.5387784282446196,0
14,7,0.05,1
14,8,0.17983609263439168,1
14,9,1.0,0
14,10,1.0,0
14,11,1.0,0
14,12,1.0,0
14,13,0.791215187447481,0
14,14,1.0,0
14,15,0.5341795930167929,0
14,16,0.65,0
14,17,1.0,0
14,18,1.0,0
14,19,1.0,0
15,0,0.231170640625,1
15,1,0.34991107609696265,0
15,2,0.7734644080381697,0
15,3,0.12653218579395478,1
15,4,0.5483398486069614,0
15,5,0.7149228125,0
15,6,0.5387784282446196,0
15,7,0.05,1
15,8,0.1168934602123546,1
15,9,1.0,0
15,10,1.0,0
15,11,1.0,0
15,12,1.0,0
15,13,0.8016544280751069,0
15,14,1.0,0
15,15,0.5341795930167929,0
15,16,0.6675,0
15,17,1.0,0
15,18,1.0,0
15,19,1.0,0
16,0,0.15026091640625,1
16,1,0.34991107609696265,0
16,2,0.7734644080381697,0
16,3,0.12653218579395478,1
16,4,0.5709228561766133,0
16,5,0.729176671875,0
16,6,0.5618395068323887,0
16,7,0.05,1
16,8,0.07598074913803049,1
16,9,1.0,0
16,10,1.0,0
16,11,1.0,0
16,12,1.0,0
16,13,0.8016544280751069,0
16,14,1.0,0
16,15,0.5341795930167929,0
16,16,0.6675,0
16,17,1.0,0
16,18,1.0,0
16,19,1.0,0
17,0,0.0976695956640625,1
17,1,0.34991107609696265,0
17,2,0.7734644080381697,0
17,3,0.08224592076607061,1
17,4,0.5923767133677826,0
17,5,0.729176671875,0
17,6,0.5618395068323887,0
17,7,0.05,1
17,8,0.07598074913803049,1
17,9,1.0,0
17,10,1.0,0
17,11,0.7365262042291292,0
17,12,1.0,0
17,13,0.8115717066713516,0
17,14,1.0,0
17,15,0.5574706133659532,0
17,16,0.684125,0
17,17,1.0,0
17,18,1.0,0
17,19,1.0,0
18,0,0.0976695956640625,1
18,1,0.3824155222921145,0
18,2,0.7847911876362612,0
18,3,0.08224592076607061,1
18,4,0.5923767133677826,0
18,5,0.729176671875,0
