round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.0985,0.9232213497161865,0,0.6,1.0,0.7499999999999999,0.2857142857142857
2,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.122,1.0274193286895752,0,0.6666666666666666,1.0,0.8,0.125
3,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.2625,1.2718150615692139,0,1.0,1.0,1.0,0.0
4,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4265,1.620023250579834,0,0.5,1.0,0.6666666666666666,0.25
5,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.418,1.459730625152588,0,0.5,1.0,0.6666666666666666,0.1111111111111111
6,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5435,1.6768603324890137,0,1.0,1.0,1.0,0.0
7,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4975,1.7116789817810059,0,0.5,1.0,0.6666666666666666,0.1111111111111111
8,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4825,1.5303699970245361,0,1.0,1.0,1.0,0.0
9,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.476,1.5762710571289062,0,0.6,1.0,0.7499999999999999,0.2857142857142857
10,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6225,1.6893446445465088,0,1.0,1.0,1.0,0.0
11,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.622,1.6083431243896484,0,1.0,1.0,1.0,0.0
12,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.553,1.733806848526001,0,0.5,1.0,0.6666666666666666,0.25
13,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5915,1.7753171920776367,0,0.5,1.0,0.6666666666666666,0.1111111111111111
14,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.661,1.8634278774261475,0,1.0,1.0,1.0,0.0
15,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5945,1.5429606437683105,0,0.75,1.0,0.8571428571428571,0.14285714285714285
16,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6995,1.7052860260009766,0,0.75,1.0,0.8571428571428571,0.14285714285714285
17,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.647,1.5615315437316895,0,0.5,1.0,0.6666666666666666,0.42857142857142855
18,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.637,1.563605785369873,0,0.6,1.0,0.7499999999999999,0.2857142857142857
19,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.578,1.7258620262145996,0,1.0,1.0,1.0,0.0
20,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.7045,1.6215746402740479,0,1.0,0.6666666666666666,0.8,0.0
21,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.7105,1.7526278495788574,0,0.6666666666666666,1.0,0.8,0.125
22,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6785,1.6887826919555664,0,1.0,1.0,1.0,0.0
23,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.693,1.7831552028656006,0,0.5,1.0,0.6666666666666666,0.1111111111111111
24,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.675,1.7620503902435303,0,0.5,1.0,0.6666666666666666,0.1111111111111111
25,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.67,1.7654047012329102,0,0.6666666666666666,1.0,0.8,0.125
26,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.72,1.8979249000549316,0,0.0,0.0,0.0,0.4
27,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6945,1.522456169128418,0,1.0,1.0,1.0,0.0
28,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.7265,1.5922541618347168,0,1.0,1.0,1.0,0.0
29,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.7125,1.7791080474853516,0,0.5,1.0,0.6666666666666666,0.25
30,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6945,1.7494518756866455,0,0.6666666666666666,1.0,0.8,0.125
