round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.1095,0.971320629119873,1769,1.0,1.0,1.0,0.0
2,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.1835,1.0492274761199951,3537,0.6666666666666666,1.0,0.8,0.125
3,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.18,1.2104501724243164,5305,1.0,1.0,1.0,0.0
4,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.216,1.7593772411346436,7072,1.0,1.0,1.0,0.0
5,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3535,1.7218282222747803,8838,0.5,1.0,0.6666666666666666,0.25
6,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.361,1.7404632568359375,10605,0.6666666666666666,1.0,0.8,0.125
7,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4235,1.8309412002563477,12372,1.0,1.0,1.0,0.0
8,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.399,1.683603286743164,14138,1.0,1.0,1.0,0.0
9,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.481,1.674828290939331,15909,0.6666666666666666,1.0,0.8,0.125
10,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.369,1.8021867275238037,17677,0.6,1.0,0.7499999999999999,0.2857142857142857
11,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4725,1.5664327144622803,19449,0.5,1.0,0.6666666666666666,0.1111111111111111
12,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6055,1.6350061893463135,21220,0.5,1.0,0.6666666666666666,0.1111111111111111
13,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6835,1.842597484588623,22985,0.0,0.0,0.0,0.5
14,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.387,1.4730165004730225,24753,1.0,0.6666666666666666,0.8,0.0
15,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.572,1.502321481704712,26522,0.5,0.3333333333333333,0.4,0.14285714285714285
16,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.596,1.7513015270233154,28292,0.5,1.0,0.6666666666666666,0.1111111111111111
17,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4985,1.5771000385284424,30060,1.0,0.6666666666666666,0.8,0.0
18,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5575,1.4225966930389404,31825,1.0,1.0,1.0,0.0
19,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.593,1.6305701732635498,33596,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
20,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.715,1.8314204216003418,35361,0.0,0.0,0.0,0.5
21,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.561,1.553159475326538,37129,1.0,0.6666666666666666,0.8,0.0
22,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.602,1.7276523113250732,38898,0.5,1.0,0.6666666666666666,0.1111111111111111
23,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.608,1.7980108261108398,40664,0.6666666666666666,1.0,0.8,0.125
24,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6315,1.507232666015625,42433,0.5,0.3333333333333333,0.4,0.14285714285714285
25,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.726,1.4135432243347168,44200,1.0,1.0,1.0,0.0
26,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.636,1.4709599018096924,45971,1.0,1.0,1.0,0.0
27,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.653,1.5276739597320557,47738,0.6666666666666666,1.0,0.8,0.125
28,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.579,1.7171337604522705,49505,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
29,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6525,1.803281307220459,51273,0.6666666666666666,1.0,0.8,0.125
30,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.65,1.584449291229248,53041,0.75,1.0,0.8571428571428571,0.14285714285714285
