round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.228,1.0483283996582031,1770,1.0,0.6666666666666666,0.8,0.0
2,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.1935,0.9278395175933838,3582,1.0,1.0,1.0,0.0
3,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.3555,1.131056308746338,5362,1.0,1.0,1.0,0.0
4,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.488,1.7349631786346436,7190,0.8,1.0,0.888888888888889,0.16666666666666666
5,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.4625,1.493300437927246,8991,1.0,1.0,1.0,0.0
6,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.579,1.5911953449249268,10787,1.0,1.0,1.0,0.0
7,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5565,1.5612447261810303,12577,0.5,1.0,0.6666666666666666,0.1111111111111111
8,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.62,1.7991597652435303,14379,1.0,1.0,1.0,0.0
9,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5415,1.7681350708007812,16174,0.5,1.0,0.6666666666666666,0.1111111111111111
10,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.626,1.8727340698242188,17954,0.5,1.0,0.6666666666666666,0.1111111111111111
11,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.59,1.498424768447876,19772,1.0,1.0,1.0,0.0
12,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.667,1.7898130416870117,21610,0.0,0.0,0.0,0.5
13,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.651,2.0425429344177246,23469,0.6666666666666666,1.0,0.8,0.125
14,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.5975,1.9123215675354004,25315,0.5,0.25,0.3333333333333333,0.16666666666666666
15,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6355,1.611060619354248,27155,1.0,1.0,1.0,0.0
16,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6685,1.5307426452636719,28993,0.6666666666666666,1.0,0.8,0.125
17,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6855,1.7028229236602783,30852,1.0,1.0,1.0,0.0
18,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6695,1.90226149559021,32684,0.6666666666666666,1.0,0.8,0.125
19,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6705,1.4484310150146484,34510,1.0,1.0,1.0,0.0
20,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6955,1.6220250129699707,36321,0.5,1.0,0.6666666666666666,0.42857142857142855
21,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6425,1.810239315032959,38136,0.75,1.0,0.8571428571428571,0.14285714285714285
22,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.652,1.8707506656646729,39952,1.0,1.0,1.0,0.0
23,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.648,1.6909904479980469,41766,0.5,1.0,0.6666666666666666,0.25
24,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6425,1.7107293605804443,43597,1.0,1.0,1.0,0.0
25,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6945,1.7730798721313477,45433,1.0,0.6666666666666666,0.8,0.0
26,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.6825,1.4766521453857422,47233,0.75,1.0,0.8571428571428571,0.14285714285714285
27,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.7305,1.6733520030975342,49061,0.6666666666666666,1.0,0.8,0.125
28,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.702,1.6582844257354736,50908,0.5,1.0,0.6666666666666666,0.1111111111111111
29,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.702,1.4733588695526123,52710,1.0,1.0,1.0,0.0
30,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.5,0.732,1.9338278770446777,54526,0.6666666666666666,1.0,0.8,0.125
