round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.094,1.0523383617401123,1656,0.0,0.0,0.0,0.0
2,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.0985,1.1131198406219482,3312,0.0,0.0,0.0,0.0
3,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.102,1.264683723449707,4969,0.0,0.0,0.0,0.0
4,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.0965,1.2583720684051514,6627,0.0,0.0,0.0,0.0
5,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.09,1.1421475410461426,8284,0.0,0.0,0.0,0.0
6,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.099,1.222679853439331,9938,0.0,0.0,0.0,0.0
7,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1155,1.2624709606170654,11595,0.0,0.0,0.0,0.0
8,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1065,1.3107211589813232,13252,0.0,0.0,0.0,0.0
9,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.108,1.4270143508911133,14908,0.0,0.0,0.0,0.0
10,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1075,1.2556946277618408,16567,0.0,0.0,0.0,0.0
11,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.102,1.22236967086792,18223,0.0,0.0,0.0,0.0
12,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.109,1.2320222854614258,19882,0.0,0.0,0.0,0.0
13,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.064,1.1094310283660889,21540,0.0,0.0,0.0,0.0
14,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.0955,1.1073474884033203,23196,0.0,0.0,0.0,0.0
15,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1045,1.1490309238433838,24855,0.0,0.0,0.0,0.0
16,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.101,1.4588956832885742,26512,0.0,0.0,0.0,0.0
17,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.087,1.1799039840698242,28172,0.0,0.0,0.0,0.0
18,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1005,1.1588413715362549,29831,0.0,0.0,0.0,0.0
19,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.1005,1.4026949405670166,31488,0.0,0.0,0.0,0.0
20,cifar10,cosine,gaussian_noise,0.2,True,0.5,0.095,1.2484204769134521,33145,0.0,0.0,0.0,0.0
