round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.091,0.998333215713501,1656,0.0,0.0,0.0,0.0
2,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.097,1.1912903785705566,3312,0.0,0.0,0.0,0.0
3,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.102,1.2698829174041748,4969,0.0,0.0,0.0,0.0
4,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1035,1.3173470497131348,6627,0.0,0.0,0.0,0.0
5,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.109,1.2472052574157715,8284,0.0,0.0,0.0,0.0
6,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1355,1.2307748794555664,9939,0.0,0.0,0.0,0.0
7,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1195,1.245042324066162,11596,0.0,0.0,0.0,0.0
8,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.125,1.3882672786712646,13253,0.0,0.0,0.0,0.0
9,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1105,1.3835020065307617,14909,0.0,0.0,0.0,0.0
10,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.102,1.1277661323547363,16568,0.0,0.0,0.0,0.0
11,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.108,1.1566929817199707,18224,0.0,0.0,0.0,0.0
12,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.115,1.0861737728118896,19883,0.0,0.0,0.0,0.0
13,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1205,1.0742895603179932,21542,0.0,0.0,0.0,0.0
14,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.111,1.0419573783874512,23197,0.0,0.0,0.0,0.0
15,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.115,1.0214037895202637,24856,0.0,0.0,0.0,0.0
16,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.1215,1.243093490600586,26513,0.0,0.0,0.0,0.0
17,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.112,1.0757999420166016,28172,0.0,0.0,0.0,0.0
18,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.111,1.0557913780212402,29830,0.0,0.0,0.0,0.0
19,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.0925,1.3087174892425537,31487,0.0,0.0,0.0,0.0
20,cifar10,fedavg,gaussian_noise,0.2,True,0.5,0.092,1.2584412097930908,33144,0.0,0.0,0.0,0.0
