round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1015,1.0743110179901123,1656,0.0,0.0,0.0,0.0
2,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.0965,1.2552354335784912,3312,0.0,0.0,0.0,0.0
3,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.099,1.3314733505249023,4969,0.0,0.0,0.0,0.0
4,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.108,1.3658974170684814,6627,0.0,0.0,0.0,0.0
5,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1045,1.2412421703338623,8284,0.0,0.0,0.0,0.0
6,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.111,1.2981317043304443,9939,0.0,0.0,0.0,0.0
7,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.098,1.3528616428375244,11596,0.0,0.0,0.0,0.0
8,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1385,1.4609549045562744,13253,0.0,0.0,0.0,0.0
9,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.2115,1.4988188743591309,14910,0.0,0.0,0.0,0.0
10,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1335,1.3548567295074463,16569,0.0,0.0,0.0,0.0
11,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1215,1.3063983917236328,18223,0.0,0.0,0.0,0.0
12,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.2075,1.272207260131836,19882,0.0,0.0,0.0,0.0
13,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.2055,1.2177011966705322,21540,0.0,0.0,0.0,0.0
14,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.158,1.1491186618804932,23196,0.0,0.0,0.0,0.0
15,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.2105,1.258204698562622,24855,0.0,0.0,0.0,0.0
16,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.189,1.5519096851348877,26512,0.0,0.0,0.0,0.0
17,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.215,1.246375560760498,28171,0.0,0.0,0.0,0.0
18,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.209,1.2251465320587158,29830,0.0,0.0,0.0,0.0
19,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.164,1.4664881229400635,31486,0.0,0.0,0.0,0.0
20,cifar10,trimmed_mean,gaussian_noise,0.2,True,0.5,0.2325,1.2716596126556396,33143,0.0,0.0,0.0,0.0
