round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.0915,1.0269699096679688,1778,1.0,1.0,1.0,0.0
2,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1095,1.5232372283935547,3589,1.0,1.0,1.0,0.0
3,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1305,1.9600284099578857,5374,1.0,1.0,1.0,0.0
4,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1115,1.9173188209533691,7189,0.5,0.25,0.3333333333333333,0.16666666666666666
5,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.0995,1.85383939743042,8993,1.0,1.0,1.0,0.0
6,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.134,1.9416155815124512,10804,0.6666666666666666,1.0,0.8,0.125
7,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1495,2.185880422592163,12592,0.5,1.0,0.6666666666666666,0.1111111111111111
8,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.148,2.174915313720703,14420,0.5,1.0,0.6666666666666666,0.25
9,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1995,1.7793049812316895,16223,0.5,1.0,0.6666666666666666,0.1111111111111111
10,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1725,1.3728947639465332,18011,0.5,1.0,0.6666666666666666,0.1111111111111111
11,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.1585,1.4445509910583496,19852,0.6,1.0,0.7499999999999999,0.2857142857142857
12,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.184,1.3933131694793701,21656,0.0,0.0,0.0,0.3
13,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2305,1.3595011234283447,23506,1.0,1.0,1.0,0.0
14,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.238,1.2395339012145996,25337,1.0,0.5,0.6666666666666666,0.0
15,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.203,1.2675414085388184,27164,1.0,1.0,1.0,0.0
16,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2205,1.5056843757629395,29004,0.6666666666666666,1.0,0.8,0.125
17,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.238,1.3128647804260254,30825,1.0,1.0,1.0,0.0
18,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.241,1.310225009918213,32632,0.6666666666666666,1.0,0.8,0.125
19,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.2465,1.5117101669311523,34456,0.6666666666666666,1.0,0.8,0.125
20,cifar10,trustfl_chain,gaussian_noise,0.2,True,0.5,0.3015,1.3733875751495361,36298,0.75,1.0,0.8571428571428571,0.14285714285714285
