round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.0568175315856934,1656,0.0,0.0,0.0,0.0
2,cifar10,cosine,model_scaling,0.2,True,0.5,0.098,1.194516658782959,3312,0.0,0.0,0.0,0.0
3,cifar10,cosine,model_scaling,0.2,True,0.5,0.1015,1.386389970779419,4969,0.0,0.0,0.0,0.0
4,cifar10,cosine,model_scaling,0.2,True,0.5,0.0995,1.3400068283081055,6627,0.0,0.0,0.0,0.0
5,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.2769622802734375,8284,0.0,0.0,0.0,0.0
6,cifar10,cosine,model_scaling,0.2,True,0.5,0.099,1.253326654434204,9938,0.0,0.0,0.0,0.0
7,cifar10,cosine,model_scaling,0.2,True,0.5,0.1015,1.3510844707489014,11595,0.0,0.0,0.0,0.0
8,cifar10,cosine,model_scaling,0.2,True,0.5,0.0975,1.36197829246521,13252,0.0,0.0,0.0,0.0
9,cifar10,cosine,model_scaling,0.2,True,0.5,0.1045,1.502697229385376,14909,0.0,0.0,0.0,0.0
10,cifar10,cosine,model_scaling,0.2,True,0.5,0.1205,1.2934844493865967,16568,0.0,0.0,0.0,0.0
11,cifar10,cosine,model_scaling,0.2,True,0.5,0.1015,1.312079906463623,18223,0.0,0.0,0.0,0.0
12,cifar10,cosine,model_scaling,0.2,True,0.5,0.112,1.2465052604675293,19883,0.0,0.0,0.0,0.0
13,cifar10,cosine,model_scaling,0.2,True,0.5,0.1465,1.187870740890503,21542,0.0,0.0,0.0,0.0
14,cifar10,cosine,model_scaling,0.2,True,0.5,0.159,1.088202953338623,23198,0.0,0.0,0.0,0.0
15,cifar10,cosine,model_scaling,0.2,True,0.5,0.176,1.1086320877075195,24857,0.0,0.0,0.0,0.0
16,cifar10,cosine,model_scaling,0.2,True,0.5,0.106,1.3342030048370361,26514,0.0,0.0,0.0,0.0
17,cifar10,cosine,model_scaling,0.2,True,0.5,0.192,1.6223013401031494,28174,0.0,0.0,0.0,0.0
18,cifar10,cosine,model_scaling,0.2,True,0.5,0.1645,1.7376959323883057,29833,0.0,0.0,0.0,0.0
19,cifar10,cosine,model_scaling,0.2,True,0.5,0.1055,2.297186851501465,31490,0.0,0.0,0.0,0.0
20,cifar10,cosine,model_scaling,0.2,True,0.5,0.11,1.9015967845916748,33147,0.0,0.0,0.0,0.0
