round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,fedavg,model_scaling,0.2,True,0.5,0.099,1.0459682941436768,1656,0.0,0.0,0.0,0.0
2,cifar10,fedavg,model_scaling,0.2,True,0.5,0.099,1.1288325786590576,3312,0.0,0.0,0.0,0.0
3,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1085,1.2619543075561523,4968,0.0,0.0,0.0,0.0
4,cifar10,fedavg,model_scaling,0.2,True,0.5,0.099,1.2781338691711426,6625,0.0,0.0,0.0,0.0
5,cifar10,fedavg,model_scaling,0.2,True,0.5,0.099,1.2148988246917725,8282,0.0,0.0,0.0,0.0
6,cifar10,fedavg,model_scaling,0.2,True,0.5,0.099,1.1113777160644531,9937,0.0,0.0,0.0,0.0
7,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1015,1.3709580898284912,11593,0.0,0.0,0.0,0.0
8,cifar10,fedavg,model_scaling,0.2,True,0.5,0.105,2.1017954349517822,13250,0.0,0.0,0.0,0.0
9,cifar10,fedavg,model_scaling,0.2,True,0.5,0.192,2.1054060459136963,14907,0.0,0.0,0.0,0.0
10,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1015,1.8495433330535889,16566,0.0,0.0,0.0,0.0
11,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1015,1.8093767166137695,18222,0.0,0.0,0.0,0.0
12,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1735,1.7712535858154297,19881,0.0,0.0,0.0,0.0
13,cifar10,fedavg,model_scaling,0.2,True,0.5,0.126,1.7135918140411377,21539,0.0,0.0,0.0,0.0
14,cifar10,fedavg,model_scaling,0.2,True,0.5,0.147,1.5922150611877441,23195,0.0,0.0,0.0,0.0
15,cifar10,fedavg,model_scaling,0.2,True,0.5,0.119,1.7200326919555664,24854,0.0,0.0,0.0,0.0
16,cifar10,fedavg,model_scaling,0.2,True,0.5,0.167,2.038825511932373,26511,0.0,0.0,0.0,0.0
17,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1,1.7328908443450928,28171,0.0,0.0,0.0,0.0
18,cifar10,fedavg,model_scaling,0.2,True,0.5,0.212,1.7068696022033691,29830,0.0,0.0,0.0,0.0
19,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1245,2.069239854812622,31487,0.0,0.0,0.0,0.0
20,cifar10,fedavg,model_scaling,0.2,True,0.5,0.1225,1.8334033489227295,33143,0.0,0.0,0.0,0.0
