round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.099,1.0104331970214844,1656,0.0,0.0,0.0,0.0
2,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.0995,1.4393870830535889,3312,0.0,0.0,0.0,0.0
3,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1125,1.8835129737854004,4969,0.0,0.0,0.0,0.0
4,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1425,1.8170490264892578,6627,0.0,0.0,0.0,0.0
5,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.099,1.7469825744628906,8284,0.0,0.0,0.0,0.0
6,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.099,1.8153181076049805,9938,0.0,0.0,0.0,0.0
7,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1165,1.923206090927124,11595,0.0,0.0,0.0,0.0
8,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.116,2.0203375816345215,13252,0.0,0.0,0.0,0.0
9,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1385,2.1568589210510254,14908,0.0,0.0,0.0,0.0
10,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1145,1.8576991558074951,16567,0.0,0.0,0.0,0.0
11,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1105,1.8633365631103516,18223,0.0,0.0,0.0,0.0
12,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.131,1.8921072483062744,19883,0.0,0.0,0.0,0.0
13,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1425,1.9247369766235352,21542,0.0,0.0,0.0,0.0
14,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1465,1.6116209030151367,23197,0.0,0.0,0.0,0.0
15,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1795,1.6905615329742432,24856,0.0,0.0,0.0,0.0
16,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.141,2.1224496364593506,26513,0.0,0.0,0.0,0.0
17,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.16,2.0017073154449463,28173,0.0,0.0,0.0,0.0
18,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.1985,1.8996458053588867,29832,0.0,0.0,0.0,0.0
19,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.113,2.0198657512664795,31489,0.0,0.0,0.0,0.0
20,cifar10,trimmed_mean,model_scaling,0.2,True,0.5,0.185,1.285395622253418,33146,0.0,0.0,0.0,0.0
