round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.099,1.0292799472808838,1780,1.0,1.0,1.0,0.0
2,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.0995,1.530198335647583,3589,1.0,1.0,1.0,0.0
3,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1085,2.0158207416534424,5390,0.6666666666666666,1.0,0.8,0.125
4,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.121,2.0301222801208496,7231,0.8,1.0,0.888888888888889,0.16666666666666666
5,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.124,1.9151794910430908,9029,1.0,1.0,1.0,0.0
6,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1065,1.7186825275421143,10823,1.0,1.0,1.0,0.0
7,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1325,1.411733627319336,12638,0.5,1.0,0.6666666666666666,0.1111111111111111
8,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.146,1.4804372787475586,14460,1.0,1.0,1.0,0.0
9,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.185,1.583620548248291,16265,0.5,1.0,0.6666666666666666,0.1111111111111111
10,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1055,1.402235746383667,18067,0.5,1.0,0.6666666666666666,0.1111111111111111
11,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1355,1.4333665370941162,19907,1.0,1.0,1.0,0.0
12,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.155,1.3982210159301758,21737,0.0,0.0,0.0,0.4
13,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1415,1.348644495010376,23565,1.0,1.0,1.0,0.0
14,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.113,1.2958545684814453,25401,0.5,0.25,0.3333333333333333,0.16666666666666666
15,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.207,1.3319447040557861,27243,1.0,1.0,1.0,0.0
16,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.167,1.5818383693695068,29068,1.0,1.0,1.0,0.0
17,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.217,1.3854951858520508,30920,0.6666666666666666,1.0,0.8,0.125
18,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.2085,1.3151981830596924,32739,0.6666666666666666,1.0,0.8,0.125
19,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.1675,1.6218538284301758,34566,1.0,1.0,1.0,0.0
20,cifar10,trustfl_chain,model_scaling,0.2,True,0.5,0.236,1.3703670501708984,36388,0.6,1.0,0.7499999999999999,0.2857142857142857
