round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0805,0.932701826095581,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.112,0.9786932468414307,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.047,1.3277604579925537,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1065,1.2966547012329102,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1855,1.7569775581359863,8281,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1365,1.5665655136108398,9940,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1585,1.3378002643585205,11596,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.157,1.2934801578521729,13254,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.134,1.2676494121551514,14912,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1035,1.745330572128296,16569,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.15,1.040006399154663,18227,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1475,1.368966817855835,19884,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.189,1.4558954238891602,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.09,1.4857990741729736,23201,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.118,1.15541672706604,24859,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.079,1.7594335079193115,26515,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0945,1.6056456565856934,28172,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1045,1.721724271774292,29831,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0965,1.824641227722168,31486,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.088,1.8966495990753174,33144,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1135,1.4654922485351562,34800,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1105,1.4481632709503174,36455,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.103,1.5724706649780273,38112,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1215,1.4929990768432617,39771,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0735,1.2053370475769043,41431,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1125,0.9495766162872314,43089,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0925,1.5772123336791992,44746,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.0565,1.6105692386627197,46403,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.1275,1.7369425296783447,48062,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,gaussian_noise,0.2,True,0.1,0.132,1.518385410308838,49722,0.0,0.0,0.0,0.0
