round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.033,1.015707015991211,1784,1.0,1.0,1.0,0.0
2,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.1015,0.9809725284576416,3609,0.75,1.0,0.8571428571428571,0.14285714285714285
3,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.2455,1.2144732475280762,5395,1.0,1.0,1.0,0.0
4,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.267,1.9474623203277588,7254,0.5,0.5,0.5,0.3333333333333333
5,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.278,1.9418792724609375,9068,1.0,1.0,1.0,0.0
6,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.3845,1.3232386112213135,10861,1.0,1.0,1.0,0.0
7,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.445,1.4972617626190186,12660,0.5,1.0,0.6666666666666666,0.1111111111111111
8,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.4455,1.3921704292297363,14489,0.5,1.0,0.6666666666666666,0.25
9,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.535,1.7897405624389648,16305,0.5,1.0,0.6666666666666666,0.1111111111111111
10,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.543,1.6249046325683594,18123,0.5,1.0,0.6666666666666666,0.1111111111111111
11,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.5305,1.447657823562622,19963,0.75,1.0,0.8571428571428571,0.14285714285714285
12,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.5865,1.8676040172576904,21764,0.0,0.0,0.0,0.3
13,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.519,1.719080924987793,23613,1.0,1.0,1.0,0.0
14,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.4515,1.457883596420288,25447,0.5,0.5,0.5,0.3333333333333333
15,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.592,1.5310897827148438,27271,1.0,1.0,1.0,0.0
16,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.614,1.5249245166778564,29105,1.0,1.0,1.0,0.0
17,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.585,1.7944536209106445,30933,0.6666666666666666,1.0,0.8,0.125
18,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.6435,1.831911563873291,32764,0.4,1.0,0.5714285714285715,0.375
19,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.6595,1.6668283939361572,34598,1.0,1.0,1.0,0.0
20,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.6655,1.7482407093048096,36425,0.6,1.0,0.7499999999999999,0.2857142857142857
21,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.654,1.7281155586242676,38252,0.5,1.0,0.6666666666666666,0.42857142857142855
22,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.678,1.7669901847839355,40078,0.75,1.0,0.8571428571428571,0.14285714285714285
23,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.7025,1.8221359252929688,41920,1.0,1.0,1.0,0.0
24,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.6675,1.4533426761627197,43782,0.6,1.0,0.7499999999999999,0.2857142857142857
25,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.7165,1.7367608547210693,45616,0.6,1.0,0.7499999999999999,0.2857142857142857
26,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.7095,1.6537635326385498,47428,1.0,1.0,1.0,0.0
27,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.729,2.0176920890808105,49274,0.6666666666666666,1.0,0.8,0.125
28,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.716,1.8459668159484863,51135,0.5,1.0,0.6666666666666666,0.1111111111111111
29,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.702,1.7910711765289307,52978,0.5,1.0,0.6666666666666666,0.25
30,fashion_mnist,trustfl_chain,gaussian_noise,0.2,True,0.1,0.7655,1.6938624382019043,54793,0.6666666666666666,1.0,0.8,0.125
