round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.1,0.9614191055297852,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.1015,0.9018731117248535,3310,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.1325,0.9214003086090088,4966,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.113,1.8133876323699951,6624,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.29,1.8414571285247803,8281,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.142,1.20048189163208,9935,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3725,1.387773036956787,11592,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4015,1.2696187496185303,13249,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4125,1.6796934604644775,14906,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3275,1.5111973285675049,16565,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3615,1.2999727725982666,18220,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4405,1.7529804706573486,19880,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.398,1.6086742877960205,21538,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.208,1.3220484256744385,23194,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3875,1.4099030494689941,24852,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.457,1.4068331718444824,26507,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.378,1.7214477062225342,28167,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3185,1.722029447555542,29826,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.423,1.534822940826416,31483,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3645,1.6102025508880615,33138,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4465,1.782593011856079,34795,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4125,1.6889522075653076,36452,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.499,1.642976999282837,38110,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4395,1.3503482341766357,39768,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.3915,1.6187314987182617,41427,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.5145,1.5248925685882568,43084,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.4595,1.878844976425171,44741,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.459,1.7129759788513184,46398,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.5485,1.6660783290863037,48057,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,label_flip,0.2,True,0.1,0.5095,1.5878736972808838,49714,0.0,0.0,0.0,0.0
