round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.115,0.8994731903076172,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.0985,0.7915289402008057,3316,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.1885,1.1103246212005615,4971,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.2695,1.297764539718628,6628,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.2115,1.8457894325256348,8284,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.3005,1.5791802406311035,9943,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.3065,1.356065273284912,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.3545,1.300187587738037,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.298,1.2855899333953857,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.476,1.7599406242370605,16570,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.346,1.0491552352905273,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.357,1.352069616317749,19886,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5035,1.4760396480560303,21544,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5235,1.5239226818084717,23203,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.384,1.1720819473266602,24861,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.4965,1.8347954750061035,26518,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.4525,1.6699507236480713,28176,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5375,1.5894837379455566,29835,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.457,1.9283561706542969,31490,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5365,1.9687891006469727,33148,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.546,1.5391714572906494,34804,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.483,1.4943253993988037,36460,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.552,1.5630333423614502,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.547,1.4458880424499512,39777,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5725,1.201439619064331,41437,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.535,0.97947096824646,43095,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.5835,1.6096558570861816,44752,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.6285,1.6691222190856934,46410,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.6035,1.8184735774993896,48068,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,label_flip,0.2,True,0.1,0.565,1.4146678447723389,49727,0.0,0.0,0.0,0.0
