round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.1095,0.9245858192443848,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.094,0.7954246997833252,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.185,1.2355144023895264,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.1095,1.357269048690796,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.196,1.7651336193084717,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.178,1.5752224922180176,9941,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.181,1.399552822113037,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.4545,1.348031759262085,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.2945,1.3327951431274414,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.275,2.3193907737731934,16570,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.359,1.2709622383117676,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.392,1.5595030784606934,19886,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.51,1.636164903640747,21544,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.368,1.6855387687683105,23203,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.3165,1.503016471862793,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.3275,2.1207385063171387,26518,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.435,1.8074278831481934,28176,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.3875,1.1042120456695557,29834,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.5075,1.3258042335510254,31489,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.4475,1.4161262512207031,33147,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.5195,1.0403873920440674,34804,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.481,1.0327599048614502,36461,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.55,1.0628666877746582,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.588,1.0387451648712158,39777,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.523,0.8011033535003662,41437,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.646,0.6803939342498779,43095,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.468,1.0590271949768066,44751,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.517,1.1442413330078125,46408,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.582,1.2313714027404785,48067,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,model_scaling,0.2,True,0.1,0.6135,0.9500288963317871,49727,0.0,0.0,0.0,0.0
