round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.202,1.0035607814788818,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.097,0.8574962615966797,3311,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.205,1.02146315574646,4968,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.24,1.8310744762420654,6625,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.2325,1.8668489456176758,8280,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.293,1.2245748043060303,9934,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.2875,1.4296696186065674,11590,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.357,1.3112843036651611,13247,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.387,1.6859145164489746,14904,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.297,1.4724292755126953,16563,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.402,1.3104174137115479,18218,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.492,1.7625703811645508,19878,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.375,1.606649398803711,21537,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.4475,1.3446078300476074,23193,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.437,1.3924705982208252,24852,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.449,1.413139820098877,26509,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.497,1.653031349182129,28169,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.4565,1.7337150573730469,29827,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.531,1.5620222091674805,31484,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.56,1.6293137073516846,33140,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.521,1.6101763248443604,34797,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.439,1.655961036682129,36453,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.5095,1.6646332740783691,38112,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.596,1.346611738204956,39771,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.5635,1.6318719387054443,41430,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.5815,1.523420810699463,43087,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.5705,1.9333300590515137,44744,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.5585,1.7205688953399658,46402,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.527,1.6464340686798096,48060,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,model_scaling,0.2,True,0.1,0.6435,1.5814051628112793,49718,0.0,0.0,0.0,0.0
