round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.095,1.2307007312774658,1794,0.5,1.0,0.6666666666666666,0.25
2,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.094,0.9767866134643555,3608,0.5,1.0,0.6666666666666666,0.25
3,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.1495,1.0892982482910156,5407,1.0,1.0,1.0,0.0
4,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.3115,1.030303716659546,7239,1.0,1.0,1.0,0.0
5,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.282,0.895197868347168,9060,1.0,1.0,1.0,0.0
6,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.3985,0.9970207214355469,10895,0.6666666666666666,1.0,0.8,0.125
7,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.296,1.0897696018218994,12735,0.6,1.0,0.7499999999999999,0.2857142857142857
8,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.471,1.0906100273132324,14577,1.0,1.0,1.0,0.0
9,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.53,1.0521800518035889,16423,0.5,1.0,0.6666666666666666,0.25
10,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.437,0.8767449855804443,18253,1.0,1.0,1.0,0.0
11,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.528,1.353757619857788,20067,0.5,1.0,0.6666666666666666,0.1111111111111111
12,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.5525,1.1289973258972168,21885,0.5,1.0,0.6666666666666666,0.1111111111111111
13,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.537,1.2029929161071777,23742,0.0,0.0,0.0,0.7
14,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.465,0.9694399833679199,25558,1.0,1.0,1.0,0.0
15,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.51,0.9630305767059326,27395,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
16,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.527,1.106351613998413,29235,0.5,1.0,0.6666666666666666,0.1111111111111111
17,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.531,0.9877364635467529,31111,0.6,1.0,0.7499999999999999,0.2857142857142857
18,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.577,1.2306182384490967,33009,1.0,1.0,1.0,0.0
19,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.456,1.0778801441192627,34843,1.0,0.6666666666666666,0.8,0.0
20,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.5685,1.3738596439361572,36728,0.0,0.0,0.0,0.6
21,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.57,0.9432997703552246,38557,1.0,1.0,1.0,0.0
22,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.5645,1.126328468322754,40413,0.5,1.0,0.6666666666666666,0.1111111111111111
23,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.633,0.9851992130279541,42275,1.0,1.0,1.0,0.0
24,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.644,1.062675952911377,44147,1.0,1.0,1.0,0.0
25,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.5825,1.1567554473876953,46021,1.0,1.0,1.0,0.0
26,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.6025,1.0303804874420166,47882,1.0,1.0,1.0,0.0
27,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.5645,1.1251366138458252,49740,1.0,1.0,1.0,0.0
28,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.574,1.0830960273742676,51585,0.75,1.0,0.8571428571428571,0.14285714285714285
29,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.6025,1.0017797946929932,53463,0.6666666666666666,1.0,0.8,0.125
30,fashion_mnist,trustfl_chain,model_scaling,0.2,True,0.1,0.664,0.9851014614105225,55324,1.0,0.6666666666666666,0.8,0.0
