round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.107,0.9272701740264893,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.0985,0.8166019916534424,3316,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.195,1.174816370010376,4971,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.2615,1.294022560119629,6628,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.3905,1.777266263961792,8284,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.2095,1.5516531467437744,9943,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.335,1.3895537853240967,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.3025,1.3113324642181396,13256,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.294,1.2783234119415283,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4485,1.8003759384155273,16569,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.3495,1.062678337097168,18227,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.3145,1.3631312847137451,19885,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.411,1.4744961261749268,21543,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5125,1.5345690250396729,23202,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.415,1.1742122173309326,24861,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5085,1.8067491054534912,26518,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4365,1.6521210670471191,28176,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5,1.5518369674682617,29835,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4975,1.871812105178833,31489,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.506,2.0150585174560547,33146,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4945,1.4812471866607666,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4185,1.509214162826538,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5835,1.5262854099273682,38117,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.506,1.4561209678649902,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.516,1.1911251544952393,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4815,0.9682047367095947,43094,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.543,1.5926835536956787,44751,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5625,1.616060495376587,46408,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.5465,1.7493016719818115,48066,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,sign_flip,0.2,True,0.1,0.4855,1.3898184299468994,49726,0.0,0.0,0.0,0.0
