round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.213,0.9835422039031982,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.0985,0.7930099964141846,3316,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.19,1.308255910873413,4971,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.239,1.3176424503326416,6628,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.32,1.8042383193969727,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.211,1.584665060043335,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.309,1.3936223983764648,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.267,1.350771188735962,13256,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.2095,1.3119688034057617,14914,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3215,1.7889115810394287,16570,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.281,1.0677070617675781,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.209,1.407778263092041,19886,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.2825,1.4641554355621338,21544,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3255,1.5589792728424072,23203,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.341,1.2093448638916016,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.299,1.8255374431610107,26519,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.319,1.6629316806793213,28177,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3795,1.55076003074646,29836,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3455,1.8883562088012695,31490,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.36,1.9931888580322266,33147,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3555,1.5209026336669922,34803,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3135,1.520780086517334,36460,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.475,1.5812888145446777,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.465,1.475525140762329,39777,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.4045,1.2286672592163086,41437,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.3745,0.9815225601196289,43095,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.337,1.6108834743499756,44752,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.434,1.648604393005371,46409,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.5125,1.7716660499572754,48068,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,sign_flip,0.2,True,0.1,0.4805,1.4000775814056396,49728,0.0,0.0,0.0,0.0
