round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.1655,1.1546156406402588,1796,0.5,1.0,0.6666666666666666,0.25
2,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.279,0.9756453037261963,3608,0.3333333333333333,0.5,0.4,0.25
3,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.1405,1.0812432765960693,5419,0.5,0.5,0.5,0.125
4,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.2865,1.0071003437042236,7216,0.3333333333333333,0.5,0.4,0.25
5,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.1935,0.8936967849731445,9048,0.25,0.5,0.3333333333333333,0.375
6,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.233,1.0120022296905518,10909,0.25,0.5,0.3333333333333333,0.375
7,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.2855,1.0321753025054932,12746,0.5,0.3333333333333333,0.4,0.14285714285714285
8,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.337,1.0584564208984375,14593,0.3333333333333333,0.5,0.4,0.25
9,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.4095,1.0591175556182861,16459,0.3333333333333333,0.5,0.4,0.25
10,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.3665,0.8409202098846436,18317,0.2,0.3333333333333333,0.25,0.5714285714285714
11,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.4595,1.2913696765899658,20171,0.16666666666666666,1.0,0.2857142857142857,0.5555555555555556
12,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.3765,1.1077682971954346,22020,0.3333333333333333,1.0,0.5,0.2222222222222222
13,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5075,1.1646637916564941,23855,0.0,0.0,0.0,0.3
14,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.413,1.0285685062408447,25708,0.5,0.3333333333333333,0.4,0.14285714285714285
15,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.429,0.9806253910064697,27592,0.2,0.3333333333333333,0.25,0.5714285714285714
16,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.441,1.13462233543396,29442,0.5,1.0,0.6666666666666666,0.1111111111111111
17,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.464,0.9137485027313232,31322,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857
18,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.4325,1.2516262531280518,33225,0.2,0.5,0.28571428571428575,0.5
19,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.356,1.0934278964996338,35102,1.0,0.6666666666666666,0.8,0.0
20,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.539,1.3694813251495361,36979,0.0,0.0,0.0,0.4
21,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.445,0.9696612358093262,38861,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5714285714285714
22,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.513,1.1748931407928467,40742,0.5,1.0,0.6666666666666666,0.1111111111111111
23,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.498,0.9781918525695801,42653,0.5,0.5,0.5,0.125
24,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5095,1.0290682315826416,44528,0.5,0.3333333333333333,0.4,0.14285714285714285
25,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5025,1.1367390155792236,46437,0.6666666666666666,1.0,0.8,0.125
26,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5325,1.0503113269805908,48337,0.3333333333333333,0.5,0.4,0.25
27,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.462,1.080402135848999,50235,0.6666666666666666,1.0,0.8,0.125
28,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5435,1.037571907043457,52128,1.0,0.6666666666666666,0.8,0.0
29,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5255,1.006833553314209,54021,0.6666666666666666,1.0,0.8,0.125
30,fashion_mnist,trustfl_chain,sign_flip,0.2,True,0.1,0.5075,0.9663097858428955,55927,1.0,0.6666666666666666,0.8,0.0
