round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.095,0.857851505279541,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.1835,1.0008578300476074,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.226,1.2885761260986328,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.385,1.4829413890838623,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.4435,1.3378872871398926,8282,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.534,1.507237195968628,9941,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5545,1.5398855209350586,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5215,1.3918225765228271,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.569,1.490748405456543,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5905,1.555105209350586,16569,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5575,1.51896333694458,18227,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5555,1.5819334983825684,19885,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.6435,1.641462802886963,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.645,1.7401518821716309,23201,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.6595,1.3951208591461182,24859,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.645,1.573622226715088,26516,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.5995,1.4266119003295898,28173,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.6645,1.410534143447876,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.599,1.5689070224761963,31486,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.684,1.4773974418640137,33144,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7055,1.6234169006347656,34801,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.634,1.4832005500793457,36458,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7055,1.5332767963409424,38116,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7125,1.5944738388061523,39774,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7075,1.5815672874450684,41434,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7055,1.668975591659546,43091,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.6975,1.3691692352294922,44748,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7525,1.4505622386932373,46406,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.7235,1.7140674591064453,48065,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,gaussian_noise,0.2,True,0.5,0.734,1.6222591400146484,49725,0.0,0.0,0.0,0.0
