round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.097,0.9370613098144531,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.128,0.8315060138702393,3312,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.1,0.9295177459716797,4968,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.1715,1.6842436790466309,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.185,1.4116501808166504,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.2235,1.5198876857757568,9938,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.424,1.5142922401428223,11595,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.471,1.7395222187042236,13252,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.4485,1.6809933185577393,14908,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.498,1.783935546875,16567,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.4395,1.4155008792877197,18223,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.408,1.7218515872955322,19883,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.5505,1.8130571842193604,21541,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.4665,1.7616040706634521,23197,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.4975,1.5270545482635498,24855,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.593,1.6548097133636475,26512,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.524,1.5316486358642578,28171,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.5835,1.7892038822174072,29830,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6455,1.3584678173065186,31487,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.602,1.4964988231658936,33144,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.5825,1.7573754787445068,34801,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.5615,1.7340238094329834,36458,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.637,1.593475103378296,38116,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.644,1.6343467235565186,39775,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6385,1.709733486175537,41433,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6275,1.4069194793701172,43090,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6675,1.5525484085083008,44748,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6155,1.5652577877044678,46406,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6415,1.377943754196167,48065,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,label_flip,0.2,True,0.5,0.6595,1.845409631729126,49722,0.0,0.0,0.0,0.0
