round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.2185,1.06727933883667,1767,0.0,0.0,0.0,0.25
2,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.1195,1.1168854236602783,3552,0.0,0.0,0.0,0.25
3,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.0975,0.999347448348999,5378,0.5,1.0,0.6666666666666666,0.25
4,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.2575,1.190556526184082,7192,0.6666666666666666,1.0,0.8,0.125
5,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.4345,1.2041795253753662,9023,0.5,1.0,0.6666666666666666,0.25
6,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.362,1.1802642345428467,10866,0.3333333333333333,0.5,0.4,0.25
7,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.432,1.2354488372802734,12708,0.5,0.3333333333333333,0.4,0.14285714285714285
8,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.5745,1.150040864944458,14537,0.5,1.0,0.6666666666666666,0.25
9,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.479,1.146996021270752,16368,0.4,1.0,0.5714285714285715,0.375
10,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.5255,1.2255051136016846,18196,0.5,1.0,0.6666666666666666,0.42857142857142855
11,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.5445,1.0524659156799316,19996,0.5,1.0,0.6666666666666666,0.1111111111111111
12,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.503,1.0668723583221436,21801,0.3333333333333333,1.0,0.5,0.2222222222222222
13,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6075,1.2228162288665771,23598,0.0,0.0,0.0,0.3
14,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6245,0.960188627243042,25446,0.6,1.0,0.7499999999999999,0.2857142857142857
15,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.4805,0.9903120994567871,27348,0.5,1.0,0.6666666666666666,0.42857142857142855
16,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.5895,1.2057437896728516,29178,0.5,1.0,0.6666666666666666,0.1111111111111111
17,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.637,1.0671074390411377,31012,1.0,0.6666666666666666,0.8,0.0
18,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.611,0.9243121147155762,32864,0.5,1.0,0.6666666666666666,0.25
19,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6245,1.1214287281036377,34731,0.5,0.3333333333333333,0.4,0.14285714285714285
20,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.609,1.1971614360809326,36577,0.0,0.0,0.0,0.2
21,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.653,1.031418800354004,38432,0.5,1.0,0.6666666666666666,0.42857142857142855
22,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.66,1.1246509552001953,40265,0.25,1.0,0.4,0.3333333333333333
23,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6685,1.1949615478515625,42096,0.6666666666666666,1.0,0.8,0.125
24,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6415,1.0070915222167969,43956,1.0,1.0,1.0,0.0
25,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.708,0.9946098327636719,45790,0.5,1.0,0.6666666666666666,0.25
26,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6455,0.9556338787078857,47651,0.6666666666666666,1.0,0.8,0.125
27,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.654,1.0431890487670898,49495,0.5,1.0,0.6666666666666666,0.25
28,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.668,1.1166913509368896,51313,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
29,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.668,1.2413644790649414,53188,1.0,1.0,1.0,0.0
30,fashion_mnist,trustfl_chain,label_flip,0.2,True,0.5,0.6945,1.0516064167022705,55049,0.75,1.0,0.8571428571428571,0.14285714285714285
