round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.2,0.9654824733734131,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.1945,1.0122663974761963,3314,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.183,0.9071202278137207,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.3145,1.0414650440216064,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.3495,1.0491483211517334,8285,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.346,1.0574595928192139,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.4205,1.147094964981079,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.4485,0.998380184173584,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.492,1.034473180770874,14915,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.409,1.0358002185821533,16573,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.507,0.916419506072998,18231,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5165,1.0578315258026123,19890,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5535,1.0999891757965088,21548,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.525,0.8747508525848389,23204,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.4985,0.9054436683654785,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.59,1.0939829349517822,26519,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.561,0.9537007808685303,28175,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.601,0.838951826095581,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5915,0.9694674015045166,31489,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5595,1.1132385730743408,33147,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.579,0.9043338298797607,34806,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.591,0.9996781349182129,36466,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5865,1.12211275100708,38123,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5585,0.8833775520324707,39780,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.6105,0.8324637413024902,41439,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5825,0.9150669574737549,43098,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.595,0.9775834083557129,44756,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.5885,1.0574684143066406,46413,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.599,1.1630444526672363,48071,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,sign_flip,0.2,True,0.5,0.593,0.9097397327423096,49729,0.0,0.0,0.0,0.0
