round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.0765,0.9797806739807129,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.122,1.0069012641906738,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.079,0.9208745956420898,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1945,0.9577486515045166,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.2415,0.955092191696167,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.2765,0.958641767501831,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.386,0.9634115695953369,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.257,0.9253122806549072,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.142,0.9149467945098877,14911,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.128,0.9909117221832275,16568,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.2485,0.943336009979248,18226,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1615,0.8974103927612305,19883,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1775,0.953991174697876,21541,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.2,0.938326358795166,23200,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1385,0.9440531730651855,24859,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.0885,0.9612932205200195,26515,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1055,0.9391183853149414,28173,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.0965,0.9319429397583008,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.116,0.9311058521270752,31487,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.085,0.9751787185668945,33145,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.119,0.9177720546722412,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.0935,0.9354016780853271,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.0675,0.9589471817016602,38117,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.108,0.9147660732269287,39775,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.075,0.9071779251098633,41435,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1235,0.9247100353240967,43093,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.1005,0.9042329788208008,44750,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.127,0.9396498203277588,46408,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.132,0.8910984992980957,48066,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,gaussian_noise,0.2,False,0.5,0.095,0.9408817291259766,49726,0.0,0.0,0.0,0.0
