round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.092,1.024543285369873,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.106,0.9519095420837402,3314,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.194,0.9872534275054932,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.2105,1.542081356048584,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.4935,1.5266809463500977,8285,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.296,1.5420103073120117,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.199,1.528456449508667,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.364,1.5301098823547363,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.467,1.5066630840301514,14915,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.2875,1.4920783042907715,16573,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.4215,1.5170164108276367,18231,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.446,1.5109505653381348,19890,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.6855,1.487985372543335,21547,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.486,1.5059864521026611,23204,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.341,1.5160465240478516,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.549,1.5328302383422852,26520,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.438,1.4943256378173828,28175,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.487,1.518308162689209,29831,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.4295,1.5179245471954346,31488,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.1755,1.6271531581878662,33146,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.3165,1.4896528720855713,34805,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.504,1.5172991752624512,36465,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.5315,1.5143275260925293,38122,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.463,1.5339853763580322,39778,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.5665,1.4884364604949951,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.5665,1.4885239601135254,43096,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.4755,1.4790942668914795,44754,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.426,1.5007600784301758,46411,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.508,1.4852378368377686,48069,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,gaussian_noise,0.2,False,0.5,0.338,1.4987297058105469,49728,0.0,0.0,0.0,0.0
