round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.1275,1.0444238185882568,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.349,1.034656286239624,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.242,1.0259449481964111,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.555,0.9889769554138184,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.608,1.0203871726989746,8282,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6035,0.9727203845977783,9941,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6075,1.0376901626586914,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6435,1.0366785526275635,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6255,1.0054175853729248,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.669,1.0043723583221436,16570,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6955,1.0099310874938965,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.686,1.020824909210205,19886,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7175,1.0095369815826416,21544,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6965,0.9705336093902588,23203,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.721,1.045844316482544,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7115,0.9864175319671631,26519,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.6875,1.0469279289245605,28177,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7225,1.013566017150879,29835,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.729,1.020132064819336,31490,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7225,0.9782965183258057,33148,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7265,1.056511402130127,34803,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7135,1.0133118629455566,36460,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.738,1.0034098625183105,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7575,0.9863991737365723,39775,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7555,1.0000214576721191,41435,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.763,0.9929945468902588,43092,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.75,1.0119454860687256,44749,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.773,1.065021276473999,46407,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.769,1.017622470855713,48065,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,gaussian_noise,0.2,False,0.5,0.7655,1.0469412803649902,49725,0.0,0.0,0.0,0.0
