round,client_id,reputation,malicious
1,0,0.65,1
1,1,1.0,0
1,2,1.0,0
1,3,0.7620875719643128,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,0.65,1
1,8,1.0,1
1,9,1.0,0
1,10,1.0,0
1,11,0.7724306473895104,0
1,12,1.0,0
1,13,1.0,0
1,14,1.0,0
1,15,1.0,0
1,16,1.0,0
1,17,1.0,0
1,18,1.0,0
1,19,1.0,0
2,0,0.42250000000000004,1
2,1,1.0,0
2,2,1.0,0
2,3,0.4953569217768033,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,0.4654544022504155,1
2,8,1.0,1
2,9,1.0,0
2,10,1.0,0
2,11,0.7724306473895104,0
2,12,1.0,0
2,13,1.0,0
2,14,1.0,0
2,15,1.0,0
2,16,1.0,0
2,17,1.0,0
2,18,1.0,0
2,19,1.0,0
3,0,0.42250000000000004,1
3,1,1.0,0
3,2,1.0,0
3,3,0.32198199915492215,1
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,0.4654544022504155,1
3,8,0.65,1
3,9,1.0,0
3,10,1.0,0
3,11,0.7838091150200349,0
3,12,1.0,0
3,13,1.0,0
3,14,1.0,0
3,15,1.0,0
3,16,1.0,0
3,17,1.0,0
3,18,1.0,0
3,19,1.0,0
4,0,0.451375,1
4,1,1.0,0
4,2,1.0,0
4,3,0.26563451578381997,1
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,0.3025453614627701,1
4,8,0.42250000000000004,1
4,9,1.0,0
4,10,1.0,0
4,11,0.7946186592690332,0
4,12,0.8125119016841418,0
4,13,1.0,0
4,14,1.0,0
4,15,1.0,0
4,16,1.0,0
4,17,1.0,0
4,18,1.0,0
4,19,1.0,0
5,0,0.29339375,1
5,1,1.0,0
5,2,1.0,0
5,3,0.172662435259483,1
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,0.3025453614627701,1
5,8,0.42250000000000004,1
5,9,1.0,0
5,10,1.0,0
5,11,0.8048877263055816,0
5,12,0.8218863065999347,0
5,13,1.0,0
5,14,1.0,0
5,15,1.0,0
5,16,1.0,0
5,17,1.0,0
5,18,1.0,0
5,19,1.0,0
6,0,0.29339375,1
6,1,1.0,0
6,2,1.0,0
6,3,0.11223058291866395,1
6,4,1.0,0
6,5,0.7568918927145287,0
6,6,1.0,0
6,7,0.19665448495080057,1
6,8,0.42250000000000004,1
6,9,1.0,0
6,10,1.0,0
6,11,0.8048877263055816,0
6,12,0.8218863065999347,0
6,13,1.0,0
6,14,1.0,0
6,15,1.0,0
6,16,1.0,0
6,17,1.0,0
6,18,1.0,0
6,19,1.0,0
7,0,0.29339375,1
7,1,1.0,0
7,2,1.0,0
7,3,0.11223058291866395,1
7,4,1.0,0
7,5,0.4919797302644437,0
7,6,1.0,0
7,7,0.19665448495080057,1
7,8,0.27462500000000006,1
7,9,1.0,0
7,10,1.0,0
7,11,0.8146433399903025,0
7,12,0.8218863065999347,0
7,13,1.0,0
7,14,1.0,0
7,15,1.0,0
7,16,1.0,0
7,17,1.0,0
7,18,1.0,0
7,19,1.0,0
8,0,0.29339375,1
8,1,1.0,0
8,2,1.0,0
8,3,0.11223058291866395,1
8,4,1.0,0
8,5,0.5173807437512215,0
8,6,1.0,0
8,7,0.12782541521802038,1
8,8,0.17850625000000006,1
8,9,1.0,0
8,10,1.0,0
8,11,0.8239111729907873,0
8,12,0.8218863065999347,0
8,13,1.0,0
8,14,0.7813728514785645,0
8,15,1.0,0
8,16,1.0,0
8,17,1.0,0
8,18,1.0,0
8,19,1.0,0
9,0,0.29339375,1
9,1,0.65,0
9,2,1.0,0
9,3,0.11223058291866395,1
9,4,1.0,0
9,5,0.5415117065636603,0
9,6,1.0,0
9,7,0.08308651989171324,1
9,8,0.17850625000000006,1
9,9,1.0,0
9,10,1.0,0
9,11,0.8239111729907873,0
9,12,0.830791991269938,0
9,13,1.0,0
9,14,0.7813728514785645,0
9,15,1.0,0
9,16,1.0,0
9,17,1.0,0
9,18,1.0,0
9,19,1.0,0
10,0,0.29339375,1
10,1,0.65,0
10,2,1.0,0
10,3,0.11223058291866395,1
10,4,1.0,0
10,5,0.5415117065636603,0
10,6,0.65,0
10,7,0.05400623792961361,1
10,8,0.17850625000000006,1
10,9,1.0,0
10,10,1.0,0
10,11,0.8239111729907873,0
10,12,0.830791991269938,0
10,13,1.0,0
10,14,0.7813728514785645,0
10,15,1.0,0
10,16,1.0,0
10,17,1.0,0
10,18,1.0,0
10,19,1.0,0
11,0,0.29339375,1
11,1,0.65,0
11,2,1.0,0
11,3,0.08782487778187988,1
11,4,1.0,0
11,5,0.5644361212354773,0
11,6,0.5225678342329739,0
11,7,0.05,1
11,8,0.13861542510671043,1
11,9,1.0,0
11,10,1.0,0
11,11,0.8239111729907873,0
11,12,0.830791991269938,0
11,13,1.0,0
11,14,0.7923042089046363,0
11,15,1.0,0
11,16,1.0,0
11,17,0.65,0
11,18,1.0,0
11,19,1.0,0
12,0,0.29339375,1
12,1,0.42250000000000004,0
12,2,1.0,0
12,3,0.08782487778187988,1
12,4,1.0,0
12,5,0.5644361212354773,0
12,6,0.5225678342329739,0
12,7,0.05,1
12,8,0.13861542510671043,1
12,9,1.0,0
12,10,1.0,0
12,11,0.8239111729907873,0
12,12,0.5400147943254597,0
12,13,1.0,0
12,14,0.7923042089046363,0
12,15,0.7967494982362509,0
12,16,1.0,0
12,17,0.5290834914653776,0
12,18,1.0,0
12,19,1.0,0
13,0,0.1907059375,1
13,1,0.42250000000000004,0
13,2,1.0,0
13,3,0.08782487778187988,1
13,4,1.0,0
13,5,0.5644361212354773,0
13,6,0.5225678342329739,0
13,7,0.05,1
13,8,0.09010002631936179,1
13,9,1.0,0
13,10,1.0,0
13,11,0.8239111729907873,0
13,12,0.5630140546091867,0
13,13,1.0,0
13,14,0.8026889984594044,0
13,15,0.8069120233244383,0
13,16,1.0,0
13,17,0.5526293168921087,0
13,18,1.0,0
13,19,1.0,0
14,0,0.231170640625,1
14,1,0.42250000000000004,0
14,2,1.0,0
14,3,0.06387195352811804,1
14,4,0.65,0
14,5,0.5644361212354773,0
14,6,0.4288421782611199,0
14,7,0.05,1
14,8,0.1355950250033937,1
14,9,1.0,0
14,10,1.0,0
14,11,0.8239111729907873,0
14,12,0.5630140546091867,0
14,13,1.0,0
14,14,0.8026889984594044,0
14,15,0.8069120233244383,0
14,16,1.0,0
14,17,0.5749978510475032,0
14,18,1.0,0
14,19,1.0,0
15,0,0.231170640625,1
15,1,0.42250000000000004,0
15,2,1.0,0
15,3,0.05,1
15,4,0.6675,0
15,5,0.5862143151737034,0
15,6,0.4288421782611199,0
15,7,0.05,1
15,8,0.08813676625220591,1
15,9,1.0,0
15,10,1.0,0
15,11,0.8239111729907873,0
15,12,0.5630140546091867,0
15,13,1.0,0
15,14,0.8125545485364343,0
15,15,0.8069120233244383,0
15,16,1.0,0
15,17,0.5749978510475032,0
15,18,1.0,0
15,19,1.0,0
16,0,0.15026091640625,1
16,1,0.42250000000000004,0
16,2,1.0,0
16,3,0.05,1
16,4,0.684125,0
16,5,0.6069035994150183,0
16,6,0.45740006934806393,0
16,7,0.05,1
16,8,0.05728889806393385,1
16,9,1.0,0
16,10,1.0,0
16,11,0.832715614341248,0
16,12,0.5848633518787274,0
16,13,1.0,0
16,14,0.8219268211096126,0
16,15,0.8069120233244383,0
16,16,1.0,0
16,17,0.5749978510475032,0
16,18,1.0,0
16,19,1.0,0
17,0,0.0976695956640625,1
17,1,0.42250000000000004,0
17,2,1.0,0
17,3,0.05,1
17,4,0.69991875,0
17,5,0.6069035994150183,0
17,6,0.45740006934806393,0
17,7,0.05,1
17,8,0.05728889806393385,1
17,9,1.0,0
17,10,1.0,0
17,11,0.8410798336241856,0
17,12,0.605620184284791,0
17,13,1.0,0
17,14,0.830830480054132,0
17,15,0.8165664221582164,0
