round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.093,1.0745813846588135,1797,0.75,1.0,0.8571428571428571,0.14285714285714285
2,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.24,1.1431834697723389,3614,0.6666666666666666,1.0,0.8,0.125
3,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.2945,1.0537323951721191,5426,0.75,1.0,0.8571428571428571,0.14285714285714285
4,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.5505,1.1663081645965576,7235,0.6666666666666666,1.0,0.8,0.125
5,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.6665,1.105055809020996,9018,0.5,1.0,0.6666666666666666,0.1111111111111111
6,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.698,1.07505464553833,10822,1.0,1.0,1.0,0.0
7,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.7335,1.0610358715057373,12621,0.5,1.0,0.6666666666666666,0.1111111111111111
8,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.6725,1.060140609741211,14438,0.6666666666666666,1.0,0.8,0.125
9,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.672,1.0736720561981201,16283,0.6,1.0,0.7499999999999999,0.2857142857142857
10,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.69,1.0018243789672852,18124,0.5,1.0,0.6666666666666666,0.25
11,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.719,1.0863802433013916,19969,0.5,1.0,0.6666666666666666,0.25
12,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.7425,1.0618321895599365,21797,1.0,1.0,1.0,0.0
13,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.761,1.0772318840026855,23600,0.5,1.0,0.6666666666666666,0.1111111111111111
14,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.761,1.0591866970062256,25406,0.6666666666666666,1.0,0.8,0.125
15,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.7845,1.0461575984954834,27251,0.6,1.0,0.7499999999999999,0.2857142857142857
16,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.773,1.0578579902648926,29096,0.6,1.0,0.7499999999999999,0.2857142857142857
17,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.78,1.0892837047576904,30923,0.75,1.0,0.8571428571428571,0.14285714285714285
18,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.787,1.0432374477386475,32753,1.0,1.0,1.0,0.0
19,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.795,1.0853989124298096,34580,1.0,1.0,1.0,0.0
20,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.789,1.1170668601989746,36395,1.0,1.0,1.0,0.0
21,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.7915,1.0578205585479736,38223,1.0,1.0,1.0,0.0
22,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.7725,1.085594892501831,40050,0.6666666666666666,1.0,0.8,0.125
23,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.811,1.133042812347412,41879,0.5,1.0,0.6666666666666666,0.1111111111111111
24,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.808,1.0619511604309082,43761,0.5,1.0,0.6666666666666666,0.1111111111111111
25,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.803,1.0316801071166992,45596,1.0,1.0,1.0,0.0
26,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.8175,1.0348422527313232,47456,0.0,0.0,0.0,0.4
27,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.808,1.1111350059509277,49283,0.6666666666666666,1.0,0.8,0.125
28,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.814,1.1052896976470947,51162,0.6666666666666666,1.0,0.8,0.125
29,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.806,1.1028497219085693,53053,1.0,1.0,1.0,0.0
30,fashion_mnist,trustfl_chain,gaussian_noise,0.2,False,0.5,0.8135,1.0357773303985596,54919,1.0,1.0,1.0,0.0
