round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.368,1.000734567642212,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.3965,0.9417545795440674,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.396,0.9667026996612549,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.542,0.9518253803253174,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.473,0.9487302303314209,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.499,0.9816620349884033,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.5955,0.9695849418640137,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.5695,1.0069468021392822,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.5725,0.9983170032501221,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.607,0.9935946464538574,16570,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.611,0.9852108955383301,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.6775,0.9984602928161621,19886,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.674,1.0149884223937988,21544,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.696,1.011685848236084,23203,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.6415,0.9948163032531738,24862,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.687,0.9531505107879639,26519,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.6815,0.9912230968475342,28176,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.691,0.9608941078186035,29835,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.694,0.9790492057800293,31489,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.594,1.0301752090454102,33147,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.705,0.9177634716033936,34804,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.69,0.9610428810119629,36461,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.6915,0.9866354465484619,38119,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.7155,0.9375112056732178,39778,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.7095,1.0023889541625977,41438,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.712,1.0033485889434814,43096,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.723,0.9709916114807129,44753,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.7315,0.9714553356170654,46411,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.7265,0.9521782398223877,48069,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,label_flip,0.2,False,0.5,0.7415,1.0312063694000244,49729,0.0,0.0,0.0,0.0
