round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.275,1.0355021953582764,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.3855,1.0244488716125488,3315,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.3685,1.0335280895233154,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.4695,0.9988701343536377,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.515,1.0139591693878174,8282,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.429,1.02768874168396,9941,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.587,1.0508859157562256,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.5375,1.0205755233764648,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.533,1.0338025093078613,14913,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.5935,1.0537898540496826,16569,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.598,0.9749054908752441,18227,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.6335,0.9905099868774414,19885,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.631,1.052696704864502,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.648,1.01405668258667,23199,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.6565,0.9804949760437012,24858,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.675,0.9886190891265869,26515,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.666,1.079355001449585,28173,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.6405,0.9923837184906006,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.6865,1.013932466506958,31487,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.657,1.0374150276184082,33145,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.712,0.9630224704742432,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.695,0.9783875942230225,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.701,0.9836640357971191,38117,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.728,0.995539665222168,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.736,1.00978684425354,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.7335,0.9628045558929443,43094,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.741,1.0225274562835693,44751,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.726,1.0143229961395264,46409,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.7285,1.013415813446045,48068,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,label_flip,0.2,False,0.5,0.7315,1.0018668174743652,49728,0.0,0.0,0.0,0.0
