round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.128,0.9207406044006348,1654,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.2355,0.9484126567840576,3310,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.3455,0.8979306221008301,4967,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.409,1.4507346153259277,6625,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.426,1.5407428741455078,8281,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.4775,1.5172393321990967,9936,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.548,1.5106072425842285,11593,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.561,1.5133650302886963,13250,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.5905,1.5045011043548584,14907,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.618,1.5127978324890137,16566,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.645,1.496455192565918,18222,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.6635,1.5112814903259277,19879,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.6425,1.5116596221923828,21537,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.654,1.536552906036377,23193,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.65,1.5424377918243408,24852,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.653,1.5129280090332031,26509,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.6935,1.6046743392944336,28168,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.698,1.5244827270507812,29827,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.6735,1.504392385482788,31484,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.727,1.53379225730896,33141,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.7215,1.508011817932129,34798,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.7185,1.5192151069641113,36455,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.7125,1.5342156887054443,38114,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.718,1.527768850326538,39773,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.7145,1.4957661628723145,41432,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.721,1.518631935119629,43089,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.73,1.501479148864746,44747,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.73,1.5133671760559082,46404,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.737,1.506068468093872,48063,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,label_flip,0.2,False,0.5,0.734,1.540034532546997,49720,0.0,0.0,0.0,0.0
