round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.125,1.1568355560302734,1795,0.75,1.0,0.8571428571428571,0.14285714285714285
2,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.2235,1.174880027770996,3603,1.0,1.0,1.0,0.0
3,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.314,1.476766586303711,5402,0.6666666666666666,1.0,0.8,0.125
4,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.4,1.8046555519104004,7223,0.0,0.0,0.0,0.3333333333333333
5,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.4295,1.7437744140625,9041,0.5,1.0,0.6666666666666666,0.25
6,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.4835,1.8053078651428223,10852,1.0,1.0,1.0,0.0
7,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.5595,1.6975233554840088,12657,0.3333333333333333,1.0,0.5,0.2222222222222222
8,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.575,1.6216037273406982,14490,0.5,1.0,0.6666666666666666,0.25
9,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.588,1.8094186782836914,16291,0.5,1.0,0.6666666666666666,0.1111111111111111
10,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.626,1.6670997142791748,18095,0.5,1.0,0.6666666666666666,0.1111111111111111
11,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6435,1.6800894737243652,19947,1.0,1.0,1.0,0.0
12,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6715,1.608564853668213,21744,0.0,0.0,0.0,0.3
13,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6405,1.6079251766204834,23568,1.0,1.0,1.0,0.0
14,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6645,1.994544267654419,25440,0.5,0.75,0.6,0.5
15,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.668,1.7378785610198975,27284,1.0,1.0,1.0,0.0
16,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6605,1.6418957710266113,29167,0.6666666666666666,1.0,0.8,0.125
17,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7145,1.629704236984253,30992,0.4,1.0,0.5714285714285715,0.375
18,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.709,1.665734052658081,32821,0.6666666666666666,1.0,0.8,0.125
19,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6745,1.76210355758667,34664,0.5,1.0,0.6666666666666666,0.25
20,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.6995,1.7172138690948486,36519,0.42857142857142855,1.0,0.6,0.5714285714285714
21,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.698,1.6363394260406494,38375,0.5,1.0,0.6666666666666666,0.42857142857142855
22,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.711,1.6393020153045654,40216,0.75,1.0,0.8571428571428571,0.14285714285714285
23,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7245,1.6733324527740479,42078,0.6666666666666666,1.0,0.8,0.125
24,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7255,1.9544563293457031,43943,1.0,0.6666666666666666,0.8,0.0
25,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.742,1.6408090591430664,45803,0.75,1.0,0.8571428571428571,0.14285714285714285
26,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7385,1.636439323425293,47643,0.6,1.0,0.7499999999999999,0.2857142857142857
27,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.733,1.7596168518066406,49522,1.0,1.0,1.0,0.0
28,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7325,1.7219102382659912,51410,0.5,1.0,0.6666666666666666,0.1111111111111111
29,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.735,1.8567707538604736,53269,0.5,1.0,0.6666666666666666,0.25
30,fashion_mnist,trustfl_chain,label_flip,0.2,False,0.5,0.7355,1.874753713607788,55140,0.5,1.0,0.6666666666666666,0.25
