round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.129,0.9086525440216064,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.394,0.871304988861084,3312,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.4795,0.9132943153381348,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.4705,1.374326467514038,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.47,1.5722780227661133,8284,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.4925,1.5327539443969727,9939,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.618,1.5591320991516113,11596,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.6035,1.5738110542297363,13253,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.6615,1.5510549545288086,14910,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.661,1.5240833759307861,16569,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.6365,1.5208613872528076,18225,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.7285,1.511596441268921,19884,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.658,1.5253863334655762,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.5745,1.5188612937927246,23197,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.567,1.5277965068817139,24855,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.6255,1.5548336505889893,26512,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.584,1.5407893657684326,28172,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.575,1.5391755104064941,29831,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.5025,1.5150492191314697,31487,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.3435,1.5288772583007812,33143,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.369,1.5210707187652588,34800,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.3835,1.5440762042999268,36457,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.462,1.5137133598327637,38116,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.418,1.527228593826294,39774,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.4055,1.5105562210083008,41433,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.5505,1.5394721031188965,43089,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.53,1.520599126815796,44747,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.7255,1.5489847660064697,46405,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.5525,1.5285179615020752,48063,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,model_scaling,0.2,False,0.5,0.659,1.5365242958068848,49721,0.0,0.0,0.0,0.0
