round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.379,1.0190556049346924,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.496,1.030733346939087,3316,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.414,0.9904117584228516,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.602,0.9381709098815918,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.5775,0.9788129329681396,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.611,0.974646806716919,9941,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.641,0.994858980178833,11597,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.6195,1.0050194263458252,13254,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.566,0.9989049434661865,14911,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7015,0.9502403736114502,16568,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.6825,0.9954099655151367,18226,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.6585,1.0188806056976318,19884,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.603,0.9909172058105469,21541,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7055,0.9423959255218506,23200,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.6315,0.9409303665161133,24859,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.6035,0.9481804370880127,26516,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.4875,0.9962811470031738,28174,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.542,0.9783666133880615,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.667,1.0108637809753418,31487,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.621,1.000932216644287,33145,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.692,0.9922084808349609,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7015,1.043398141860962,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7465,1.0204887390136719,38117,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.766,1.0596563816070557,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.728,1.0114901065826416,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.771,1.017913579940796,43094,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.753,1.0280168056488037,44750,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7345,1.0262928009033203,46408,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7635,0.9910855293273926,48067,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,model_scaling,0.2,False,0.5,0.7645,1.021733283996582,49727,0.0,0.0,0.0,0.0
