round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.1645,0.9203321933746338,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.329,0.9949507713317871,3312,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.4845,0.9522585868835449,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.5025,1.5238580703735352,6626,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.5745,1.5269150733947754,8283,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.6055,1.5455718040466309,9937,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.6215,1.5286717414855957,11594,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.608,1.5452022552490234,13251,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.648,1.5502490997314453,14908,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.674,1.5670416355133057,16566,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.6875,1.5569570064544678,18222,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.703,1.528963565826416,19881,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.712,1.7110965251922607,21540,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.6685,1.6207749843597412,23196,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.709,1.7595503330230713,24855,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.696,1.7815284729003906,26512,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.729,1.5692226886749268,28172,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.732,1.5382513999938965,29831,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.6905,1.5353446006774902,31488,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.722,1.6172139644622803,33145,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.699,1.554893970489502,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.732,1.551865816116333,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.7325,1.5706589221954346,38117,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.7245,1.553009271621704,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.7365,1.5513041019439697,41435,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.7385,1.5546987056732178,43092,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.753,1.5555903911590576,44750,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.7615,1.5410816669464111,46406,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.753,1.5741856098175049,48064,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,model_scaling,0.2,False,0.5,0.765,1.5601162910461426,49722,0.0,0.0,0.0,0.0
