round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.202,1.0074050426483154,1796,0.75,1.0,0.8571428571428571,0.14285714285714285
2,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.3615,0.9640569686889648,3610,1.0,1.0,1.0,0.0
3,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.512,1.0832619667053223,5421,0.6666666666666666,1.0,0.8,0.125
4,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.497,1.7822003364562988,7244,0.3333333333333333,0.25,0.28571428571428575,0.3333333333333333
5,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.549,1.644925832748413,9063,0.6666666666666666,1.0,0.8,0.125
6,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.619,1.6572673320770264,10892,0.6666666666666666,1.0,0.8,0.125
7,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.658,1.6522197723388672,12699,0.3333333333333333,1.0,0.5,0.2222222222222222
8,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.632,1.6965339183807373,14561,0.6666666666666666,1.0,0.8,0.125
9,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.64,1.6416699886322021,16392,0.5,1.0,0.6666666666666666,0.1111111111111111
10,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.6805,1.6759541034698486,18209,0.5,1.0,0.6666666666666666,0.1111111111111111
11,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.677,1.666640043258667,20067,0.75,1.0,0.8571428571428571,0.14285714285714285
12,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7045,1.671757459640503,21860,0.0,0.0,0.0,0.3
13,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.703,1.6763439178466797,23690,1.0,1.0,1.0,0.0
14,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.695,1.6482629776000977,25554,0.6666666666666666,0.5,0.5714285714285715,0.16666666666666666
15,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.6945,1.6854918003082275,27404,1.0,1.0,1.0,0.0
16,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.6975,1.6640901565551758,29282,0.6666666666666666,1.0,0.8,0.125
17,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.734,1.664398431777954,31114,1.0,1.0,1.0,0.0
18,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.735,1.656207799911499,32939,1.0,1.0,1.0,0.0
19,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.701,1.6700325012207031,34781,0.6666666666666666,1.0,0.8,0.125
20,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7285,1.6710286140441895,36625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
21,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7105,1.698822021484375,38468,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285
22,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.727,1.6679859161376953,40294,0.75,1.0,0.8571428571428571,0.14285714285714285
23,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.736,1.7094593048095703,42164,0.5,1.0,0.6666666666666666,0.25
24,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7365,1.7144920825958252,44006,0.75,1.0,0.8571428571428571,0.14285714285714285
25,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7485,1.6775217056274414,45830,1.0,1.0,1.0,0.0
26,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.751,1.6896626949310303,47666,1.0,0.6666666666666666,0.8,0.0
27,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.741,1.6915833950042725,49537,1.0,1.0,1.0,0.0
28,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.752,1.7529921531677246,51410,0.5,1.0,0.6666666666666666,0.1111111111111111
29,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7545,1.6770257949829102,53259,1.0,1.0,1.0,0.0
30,fashion_mnist,trustfl_chain,model_scaling,0.2,False,0.5,0.7595,1.6543993949890137,55121,1.0,1.0,1.0,0.0
