round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.3165,1.0232961177825928,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.338,0.9441790580749512,3314,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.444,1.0297622680664062,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.455,1.5378944873809814,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.4555,1.5450165271759033,8285,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.523,1.5653212070465088,9942,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.4865,1.5162055492401123,11598,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.584,1.5327117443084717,13255,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.54,1.5232899188995361,14915,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.603,1.5342650413513184,16573,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6355,1.5194287300109863,18231,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.624,1.5471041202545166,19890,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6655,1.511885643005371,21548,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.68,1.5352256298065186,23205,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6575,1.5149738788604736,24863,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6695,1.5391526222229004,26521,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.692,1.5242457389831543,28177,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6735,1.5378355979919434,29834,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7315,1.5563819408416748,31492,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6785,1.5563933849334717,33150,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.718,1.5711579322814941,34808,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7065,1.6654927730560303,36467,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.6985,1.6123089790344238,38124,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.718,1.5508882999420166,39781,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7005,1.588862657546997,41440,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7375,1.5526399612426758,43099,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.728,1.5600371360778809,44756,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7315,1.5485379695892334,46411,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.7235,1.553889513015747,48069,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,sign_flip,0.2,False,0.5,0.731,1.5709073543548584,49728,0.0,0.0,0.0,0.0
