round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.111,1.1048214435577393,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.14,1.0768349170684814,3312,0.0,0.0,0.0,0.0
3,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.164,1.0467100143432617,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.168,0.9750890731811523,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.1635,1.0906167030334473,8284,0.0,0.0,0.0,0.0
6,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.278,1.0470342636108398,9939,0.0,0.0,0.0,0.0
7,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.343,1.0797240734100342,11596,0.0,0.0,0.0,0.0
8,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.497,1.1637778282165527,13252,0.0,0.0,0.0,0.0
9,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.539,1.13508939743042,14909,0.0,0.0,0.0,0.0
10,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.547,1.1294748783111572,16568,0.0,0.0,0.0,0.0
11,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.5505,1.0457179546356201,18223,0.0,0.0,0.0,0.0
12,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.6145,1.0427472591400146,19883,0.0,0.0,0.0,0.0
13,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.579,1.0714619159698486,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.572,1.0021469593048096,23198,0.0,0.0,0.0,0.0
15,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.579,1.054558515548706,24856,0.0,0.0,0.0,0.0
16,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.5725,1.0997343063354492,26513,0.0,0.0,0.0,0.0
17,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.6475,1.0858547687530518,28173,0.0,0.0,0.0,0.0
18,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.646,1.0429987907409668,29832,0.0,0.0,0.0,0.0
19,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.639,1.0461831092834473,31489,0.0,0.0,0.0,0.0
20,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.631,1.0155901908874512,33145,0.0,0.0,0.0,0.0
21,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.661,0.9611320495605469,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.659,1.039353847503662,36459,0.0,0.0,0.0,0.0
23,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.6715,1.1455485820770264,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.671,1.077317237854004,39777,0.0,0.0,0.0,0.0
25,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.686,1.057739496231079,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.701,0.9993059635162354,43093,0.0,0.0,0.0,0.0
27,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.7025,1.1369540691375732,44751,0.0,0.0,0.0,0.0
28,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.688,1.1307897567749023,46409,0.0,0.0,0.0,0.0
29,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.718,1.0927646160125732,48068,0.0,0.0,0.0,0.0
30,fashion_mnist,fedavg,sign_flip,0.2,False,0.5,0.6915,0.9874682426452637,49725,0.0,0.0,0.0,0.0
