round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.276,0.9507839679718018,1656,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.36,0.9158046245574951,3313,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.4875,0.9321286678314209,4969,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.5075,1.502514362335205,6624,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.5175,1.5399460792541504,8281,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.49,1.5355989933013916,9938,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.446,1.532456874847412,11593,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.4875,1.555856704711914,13250,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.5335,1.5610277652740479,14909,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.5725,1.5433197021484375,16567,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.599,1.5414378643035889,18225,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.612,1.5280587673187256,19884,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.641,1.5396671295166016,21542,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6525,1.5407850742340088,23199,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.643,1.5215246677398682,24856,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.663,1.5892424583435059,26514,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6465,1.5383849143981934,28170,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6475,1.5490832328796387,29827,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.705,1.541111946105957,31485,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.717,1.5655300617218018,33143,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.702,1.56376051902771,34802,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.7,1.5699858665466309,36462,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.681,1.595644474029541,38119,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6755,1.584322452545166,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6845,1.561082363128662,41435,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.6975,1.5840380191802979,43094,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.7095,1.5568389892578125,44751,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.716,1.5855827331542969,46408,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.718,1.5395519733428955,48066,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,sign_flip,0.2,False,0.5,0.7215,1.578538179397583,49725,0.0,0.0,0.0,0.0
