round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.1835,0.922299861907959,1655,0.0,0.0,0.0,0.0
2,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.094,0.9407296180725098,3312,0.0,0.0,0.0,0.0
3,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.1225,1.1467795372009277,4970,0.0,0.0,0.0,0.0
4,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.2655,1.4786605834960938,6627,0.0,0.0,0.0,0.0
5,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.491,1.7069337368011475,8284,0.0,0.0,0.0,0.0
6,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.3325,1.4660148620605469,9943,0.0,0.0,0.0,0.0
7,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.355,1.7535452842712402,11602,0.0,0.0,0.0,0.0
8,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.5055,1.4385089874267578,13258,0.0,0.0,0.0,0.0
9,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.422,1.4216268062591553,14916,0.0,0.0,0.0,0.0
10,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.42,1.493105411529541,16575,0.0,0.0,0.0,0.0
11,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.5255,1.5213565826416016,18232,0.0,0.0,0.0,0.0
12,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.4375,1.4962356090545654,19889,0.0,0.0,0.0,0.0
13,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.5265,1.6199932098388672,21547,0.0,0.0,0.0,0.0
14,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.561,1.6718404293060303,23205,0.0,0.0,0.0,0.0
15,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.455,1.7437396049499512,24863,0.0,0.0,0.0,0.0
16,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.426,1.4105305671691895,26522,0.0,0.0,0.0,0.0
17,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.341,1.584010362625122,28178,0.0,0.0,0.0,0.0
18,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.4295,1.4331557750701904,29835,0.0,0.0,0.0,0.0
19,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.581,1.4161500930786133,31494,0.0,0.0,0.0,0.0
20,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.622,1.5836851596832275,33149,0.0,0.0,0.0,0.0
21,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.4755,1.5181286334991455,34805,0.0,0.0,0.0,0.0
22,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.6455,1.6191694736480713,36462,0.0,0.0,0.0,0.0
23,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.4975,1.473045825958252,38119,0.0,0.0,0.0,0.0
24,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.526,1.5511257648468018,39777,0.0,0.0,0.0,0.0
25,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.648,1.5862836837768555,41436,0.0,0.0,0.0,0.0
26,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.4985,1.5956478118896484,43096,0.0,0.0,0.0,0.0
27,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.6495,1.6848554611206055,44753,0.0,0.0,0.0,0.0
28,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.48,1.375662088394165,46410,0.0,0.0,0.0,0.0
29,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.592,1.4722709655761719,48068,0.0,0.0,0.0,0.0
30,fashion_mnist,cosine,model_scaling,0.1,True,0.5,0.511,1.6745553016662598,49726,0.0,0.0,0.0,0.0
