round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.097,0.9435141086578369,1654,0.0,0.0,0.0,0.0
2,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.1955,1.1158721446990967,3311,0.0,0.0,0.0,0.0
3,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.098,1.1893677711486816,4966,0.0,0.0,0.0,0.0
4,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.3405,1.6630873680114746,6625,0.0,0.0,0.0,0.0
5,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.497,1.5310468673706055,8285,0.0,0.0,0.0,0.0
6,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5365,1.566004753112793,9944,0.0,0.0,0.0,0.0
7,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.447,1.5465848445892334,11600,0.0,0.0,0.0,0.0
8,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.558,1.4381506443023682,13257,0.0,0.0,0.0,0.0
9,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.4985,1.4894592761993408,14915,0.0,0.0,0.0,0.0
10,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.577,1.5743389129638672,16572,0.0,0.0,0.0,0.0
11,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5095,1.5079851150512695,18228,0.0,0.0,0.0,0.0
12,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5625,1.6143062114715576,19885,0.0,0.0,0.0,0.0
13,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6235,1.6907382011413574,21543,0.0,0.0,0.0,0.0
14,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6225,1.7645330429077148,23201,0.0,0.0,0.0,0.0
15,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5585,1.416213035583496,24860,0.0,0.0,0.0,0.0
16,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6035,1.5882935523986816,26517,0.0,0.0,0.0,0.0
17,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.602,1.4459645748138428,28175,0.0,0.0,0.0,0.0
18,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5865,1.456047773361206,29834,0.0,0.0,0.0,0.0
19,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5185,1.6296169757843018,31488,0.0,0.0,0.0,0.0
20,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.5815,1.5081000328063965,33146,0.0,0.0,0.0,0.0
21,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.7055,1.6587660312652588,34803,0.0,0.0,0.0,0.0
22,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.624,1.4849014282226562,36460,0.0,0.0,0.0,0.0
23,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.719,1.5824980735778809,38118,0.0,0.0,0.0,0.0
24,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.64,1.5973474979400635,39776,0.0,0.0,0.0,0.0
25,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6685,1.6402230262756348,41435,0.0,0.0,0.0,0.0
26,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.7015,1.7019407749176025,43093,0.0,0.0,0.0,0.0
27,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6755,1.4051403999328613,44749,0.0,0.0,0.0,0.0
28,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6865,1.490173101425171,46407,0.0,0.0,0.0,0.0
29,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.6965,1.7039151191711426,48066,0.0,0.0,0.0,0.0
30,fashion_mnist,trimmed_mean,model_scaling,0.3,True,0.5,0.709,1.6348586082458496,49725,0.0,0.0,0.0,0.0
