round,dataset,defense,attack,malicious_ratio,non_iid,alpha,accuracy,runtime_sec,ledger_bytes,precision,recall,f1,fpr
1,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.2445,1.088042974472046,1733,0.75,1.0,0.8571428571428571,0.14285714285714285
2,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.097,1.0489802360534668,3486,0.5,1.0,0.6666666666666666,0.25
3,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.2345,1.5057430267333984,5258,0.75,0.6,0.6666666666666665,0.2
4,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.4465,1.6502201557159424,7090,0.6666666666666666,1.0,0.8,0.3333333333333333
5,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.2495,1.4521245956420898,8878,0.5,0.3333333333333333,0.4,0.5
6,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.4735,1.7978432178497314,10715,0.8,1.0,0.888888888888889,0.16666666666666666
7,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.539,1.6644549369812012,12501,0.75,1.0,0.8571428571428571,0.14285714285714285
8,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.527,1.716341257095337,14314,0.75,0.6,0.6666666666666665,0.2
9,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.603,1.795896291732788,16125,0.75,1.0,0.8571428571428571,0.14285714285714285
10,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.514,1.6032814979553223,17943,0.6666666666666666,1.0,0.8,0.3333333333333333
11,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.62,1.6467947959899902,19767,0.75,0.75,0.75,0.16666666666666666
12,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.681,1.8509676456451416,21597,0.5,1.0,0.6666666666666666,0.25
13,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.595,1.4575424194335938,23414,0.5,0.5,0.5,0.3333333333333333
14,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.542,1.5027737617492676,25236,0.5,0.4,0.4444444444444445,0.4
15,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.6315,1.7873995304107666,27069,0.5,1.0,0.6666666666666666,0.25
16,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.685,1.6746406555175781,28905,0.75,1.0,0.8571428571428571,0.14285714285714285
17,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.595,1.511279582977295,30728,1.0,1.0,1.0,0.0
18,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.69,1.6902368068695068,32570,0.5,0.6666666666666666,0.5714285714285715,0.2857142857142857
19,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.655,1.7547435760498047,34414,0.5,0.6666666666666666,0.5714285714285715,0.2857142857142857
20,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.665,1.5445137023925781,36277,0.6666666666666666,0.8,0.7272727272727272,0.4
21,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.6595,1.6844031810760498,38130,1.0,1.0,1.0,0.0
22,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.685,1.8205375671386719,39985,0.75,1.0,0.8571428571428571,0.14285714285714285
23,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.6405,1.5672733783721924,41842,0.75,0.75,0.75,0.16666666666666666
24,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.693,1.440110445022583,43705,0.5,0.4,0.4444444444444445,0.4
25,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.7255,1.4734346866607666,45554,0.8,1.0,0.888888888888889,0.16666666666666666
26,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.6605,1.5454070568084717,47402,1.0,1.0,1.0,0.0
27,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.7005,1.7403693199157715,49235,0.2,0.2,0.20000000000000004,0.8
28,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.7015,1.7934293746948242,51105,0.5,0.6666666666666666,0.5714285714285715,0.2857142857142857
29,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.667,1.5443403720855713,52969,0.5,0.4,0.4444444444444445,0.4
30,fashion_mnist,trustfl_chain,model_scaling,0.4,True,0.5,0.6415,1.5638117790222168,54808,0.5,0.4,0.4444444444444445,0.4
